session_id,timestamp,satellite_id,ground_station_id,direction,protocol,packet_size_bytes,data_type,encryption_status,link_quality_pct,bit_error_rate,latency_ms,anomaly_flag
SESS-000017,2026-01-22 00:27:15,SENTINEL-9,GS-DELTA-4,DOWNLINK,PROXIMITY-1,2252,COMMAND,AES-256,96.3,7.615e-09,250,NONE
SESS-000018,2026-01-22 00:29:46,SENTINEL-9,GS-ALPHA-1,DOWNLINK,PROXIMITY-1,1798,TELEMETRY,AES-256,92.31,1.874e-09,268,NONE
SESS-000019,2026-01-22 00:32:45,SENTINEL-9,GS-CHARLIE-3,UPLINK,PROXIMITY-1,3670,TELEMETRY,AES-256,92.14,4.94e-10,276,NONE
SESS-000020,2026-01-22 00:35:44,SENTINEL-9,GS-ALPHA-1,UPLINK,CCSDS,3587,COMMAND,AES-128,93.14,5.55e-10,261,NONE
SESS-000021,2026-01-22 00:37:18,SENTINEL-9,GS-ALPHA-1,DOWNLINK,PROXIMITY-1,3435,PAYLOAD_DATA,AES-128,93.58,6.1e-09,265,NONE
SESS-000022,2026-01-22 00:39:04,SENTINEL-9,GS-ALPHA-1,UPLINK,CCSDS,3009,COMMAND,AES-256,99.36,1.249e-09,270,NONE
SESS-000023,2026-01-22 00:41:53,SENTINEL-9,GS-ALPHA-1,UPLINK,DTN,535,COMMAND,AES-128,99.3,6.172e-09,268,NONE
SESS-000024,2026-01-22 00:44:43,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,DTN,3278,COMMAND,AES-256,98.52,4.881e-09,271,NONE
SESS-000025,2026-01-22 00:47:07,SENTINEL-9,GS-CHARLIE-3,UPLINK,DTN,1510,TELEMETRY,AES-256,97.42,8.586e-09,277,NONE
SESS-000026,2026-01-22 00:49:39,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,DTN,1546,TELEMETRY,AES-256,93.59,8.192e-09,259,NONE
SESS-000027,2026-01-22 00:51:07,SENTINEL-9,GS-BRAVO-2,UPLINK,CCSDS,1843,PAYLOAD_DATA,AES-256,93.48,5.711e-09,246,NONE
SESS-000028,2026-01-22 00:53:39,SENTINEL-9,GS-BRAVO-2,UPLINK,CCSDS,1068,COMMAND,AES-256,98.7,7.767e-09,255,NONE
SESS-000029,2026-01-22 00:56:27,SENTINEL-9,GS-DELTA-4,UPLINK,DTN,2048,COMMAND,NONE,92.82,8.555e-09,249,NONE
SESS-000030,2026-01-22 00:58:50,SENTINEL-9,GS-BRAVO-2,UPLINK,CCSDS,1442,HOUSEKEEPING,AES-256,95.58,9.554e-09,273,NONE
SESS-000031,2026-01-22 01:00:41,SENTINEL-9,GS-DELTA-4,DOWNLINK,DTN,3644,COMMAND,AES-128,98.96,9.35e-09,257,NONE
SESS-000032,2026-01-22 01:01:11,SENTINEL-9,GS-CHARLIE-3,UPLINK,PROXIMITY-1,3486,PAYLOAD_DATA,AES-256,95.33,4.115e-09,272,NONE
SESS-000033,2026-01-22 01:02:48,SENTINEL-9,GS-DELTA-4,DOWNLINK,DTN,3887,TELEMETRY,NONE,94.1,3.452e-09,240,NONE
SESS-000034,2026-01-22 01:03:26,SENTINEL-9,GS-DELTA-4,DOWNLINK,CCSDS,3163,COMMAND,AES-256,98.56,9.497e-09,244,NONE
SESS-000035,2026-01-22 01:03:58,SENTINEL-9,GS-DELTA-4,DOWNLINK,CCSDS,3728,PAYLOAD_DATA,AES-256,93.51,7.04e-09,270,NONE
SESS-000036,2026-01-22 01:04:36,SENTINEL-9,GS-CHARLIE-3,UPLINK,CCSDS,3745,TELEMETRY,NONE,94.49,4.149e-09,271,NONE
SESS-000037,2026-01-22 01:06:27,SENTINEL-9,GS-BRAVO-2,DOWNLINK,PROXIMITY-1,1536,TELEMETRY,AES-256,92.38,9.376e-09,247,NONE
SESS-000038,2026-01-22 01:08:05,SENTINEL-9,GS-BRAVO-2,DOWNLINK,PROXIMITY-1,3486,COMMAND,AES-256,94.24,4.648e-09,252,NONE
SESS-000039,2026-01-22 01:08:56,SENTINEL-9,GS-BRAVO-2,UPLINK,PROXIMITY-1,883,TELEMETRY,AES-128,97.46,9.746e-09,260,NONE
SESS-000040,2026-01-22 01:11:06,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,DTN,3398,HOUSEKEEPING,AES-128,95.74,8.253e-09,248,NONE
SESS-000041,2026-01-22 01:13:33,SENTINEL-9,GS-BRAVO-2,DOWNLINK,CCSDS,2581,HOUSEKEEPING,AES-128,98.18,4.703e-09,272,NONE
SESS-000042,2026-01-22 01:15:22,SENTINEL-9,GS-DELTA-4,DOWNLINK,DTN,545,HOUSEKEEPING,AES-128,93.85,6.712e-09,251,NONE
SESS-000043,2026-01-22 01:18:04,SENTINEL-9,GS-ALPHA-1,DOWNLINK,DTN,3189,PAYLOAD_DATA,AES-128,94.11,2.271e-09,278,NONE
SESS-000044,2026-01-22 01:19:12,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,PROXIMITY-1,3406,HOUSEKEEPING,AES-256,92.11,4.84e-09,251,NONE
SESS-000045,2026-01-22 01:19:44,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,PROXIMITY-1,1410,HOUSEKEEPING,AES-256,95.11,9.103e-09,262,NONE
SESS-000046,2026-01-22 01:20:39,SENTINEL-9,GS-DELTA-4,UPLINK,CCSDS,4009,PAYLOAD_DATA,AES-256,92.03,7.3e-10,254,NONE
SESS-000047,2026-01-22 01:21:16,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,PROXIMITY-1,2971,HOUSEKEEPING,AES-256,95.61,1.697e-09,267,NONE
SESS-000048,2026-01-22 01:22:37,SENTINEL-9,GS-DELTA-4,DOWNLINK,DTN,3407,TELEMETRY,AES-128,96.5,1.903e-09,256,NONE
SESS-000049,2026-01-22 01:25:20,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,CCSDS,2082,COMMAND,AES-256,97.83,9.104e-09,255,NONE
SESS-000050,2026-01-22 01:27:55,SENTINEL-9,GS-ALPHA-1,DOWNLINK,DTN,1564,COMMAND,AES-256,94.9,6.234e-09,249,NONE
SESS-000051,2026-01-22 01:30:25,SENTINEL-9,GS-ALPHA-1,UPLINK,PROXIMITY-1,1176,PAYLOAD_DATA,AES-256,96.84,8.57e-09,245,NONE
SESS-000052,2026-01-22 01:33:24,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,DTN,812,COMMAND,AES-256,98.39,1.16e-09,265,NONE
SESS-000053,2026-01-22 01:34:49,SENTINEL-9,GS-ALPHA-1,DOWNLINK,CCSDS,4057,COMMAND,AES-256,96.02,7.514e-09,258,NONE
SESS-000054,2026-01-22 01:36:01,SENTINEL-9,GS-ALPHA-1,DOWNLINK,PROXIMITY-1,1746,PAYLOAD_DATA,AES-256,99.35,7.307e-09,267,NONE
SESS-000055,2026-01-22 01:36:57,SENTINEL-9,GS-CHARLIE-3,UPLINK,DTN,1624,COMMAND,AES-256,93.25,9.004e-09,267,NONE
SESS-000056,2026-01-22 01:38:11,SENTINEL-9,GS-BRAVO-2,DOWNLINK,CCSDS,704,HOUSEKEEPING,AES-256,95.35,9.211e-09,259,NONE
SESS-000057,2026-01-22 01:39:26,SENTINEL-9,GS-BRAVO-2,DOWNLINK,PROXIMITY-1,3216,TELEMETRY,AES-256,92.76,3.094e-09,254,NONE
SESS-000058,2026-01-22 01:41:48,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,CCSDS,1242,HOUSEKEEPING,AES-128,96.23,8.214e-09,253,NONE
SESS-000059,2026-01-22 01:42:50,SENTINEL-9,GS-BRAVO-2,DOWNLINK,DTN,2659,PAYLOAD_DATA,AES-256,98.31,9.87e-09,254,NONE
SESS-000060,2026-01-22 01:45:26,SENTINEL-9,GS-BRAVO-2,UPLINK,PROXIMITY-1,1795,HOUSEKEEPING,AES-256,97.44,2.16e-10,261,NONE
SESS-000061,2026-01-22 01:47:30,SENTINEL-9,GS-CHARLIE-3,UPLINK,CCSDS,3859,TELEMETRY,AES-256,98.75,1.939e-09,262,NONE
SESS-000062,2026-01-22 01:48:27,SENTINEL-9,GS-ALPHA-1,DOWNLINK,DTN,3082,COMMAND,AES-256,94.02,6.123e-09,240,NONE
SESS-000063,2026-01-22 01:50:30,SENTINEL-9,GS-BRAVO-2,DOWNLINK,DTN,2233,TELEMETRY,AES-128,94.65,6.696e-09,264,NONE
SESS-000064,2026-01-22 01:52:37,SENTINEL-9,GS-BRAVO-2,UPLINK,PROXIMITY-1,2545,PAYLOAD_DATA,NONE,98.07,8.28e-09,260,NONE
SESS-000065,2026-01-22 01:54:55,SENTINEL-9,GS-BRAVO-2,DOWNLINK,PROXIMITY-1,3289,COMMAND,AES-256,99.03,5.611e-09,266,NONE
SESS-000066,2026-01-22 01:56:45,SENTINEL-9,GS-DELTA-4,UPLINK,DTN,2688,COMMAND,AES-256,97.73,4.916e-09,271,NONE
SESS-000067,2026-01-22 01:57:49,SENTINEL-9,GS-CHARLIE-3,UPLINK,CCSDS,1088,COMMAND,AES-256,93.64,8.353e-09,263,NONE
SESS-000068,2026-01-22 01:58:24,SENTINEL-9,GS-BRAVO-2,DOWNLINK,DTN,2742,PAYLOAD_DATA,AES-128,99.15,9.308e-09,271,NONE
SESS-000069,2026-01-22 02:01:01,SENTINEL-9,GS-DELTA-4,UPLINK,CCSDS,2978,TELEMETRY,AES-256,96.38,9.895e-09,279,NONE
SESS-000070,2026-01-22 02:01:44,SENTINEL-9,GS-ALPHA-1,UPLINK,DTN,1589,TELEMETRY,NONE,93.46,2.966e-09,252,NONE
SESS-000071,2026-01-22 02:03:09,SENTINEL-9,GS-DELTA-4,UPLINK,CCSDS,2557,PAYLOAD_DATA,AES-128,95.25,3.255e-09,272,NONE
SESS-000072,2026-01-22 02:04:57,SENTINEL-9,GS-ALPHA-1,DOWNLINK,DTN,1562,PAYLOAD_DATA,AES-256,98.07,6.434e-09,243,NONE
SESS-000073,2026-01-22 02:07:54,SENTINEL-9,GS-DELTA-4,UPLINK,DTN,3089,PAYLOAD_DATA,NONE,97.39,8.21e-09,244,NONE
SESS-000074,2026-01-22 02:10:49,SENTINEL-9,GS-ALPHA-1,DOWNLINK,PROXIMITY-1,2314,TELEMETRY,AES-256,99.14,5.89e-10,248,NONE
SESS-000075,2026-01-22 02:13:22,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,PROXIMITY-1,1818,COMMAND,AES-256,94.18,2.929e-09,272,NONE
SESS-000076,2026-01-22 02:16:16,SENTINEL-9,GS-DELTA-4,UPLINK,CCSDS,1081,TELEMETRY,AES-256,98.14,5.297e-09,258,NONE
SESS-000077,2026-01-22 02:19:07,SENTINEL-9,GS-ALPHA-1,DOWNLINK,PROXIMITY-1,2825,TELEMETRY,AES-256,93.65,6.816e-09,259,NONE
SESS-000078,2026-01-22 02:20:02,SENTINEL-9,GS-DELTA-4,DOWNLINK,PROXIMITY-1,3258,PAYLOAD_DATA,AES-256,98.32,1.267e-09,244,NONE
SESS-000079,2026-01-22 02:22:04,SENTINEL-9,GS-ALPHA-1,DOWNLINK,DTN,2046,TELEMETRY,AES-256,93.02,5.02e-10,250,NONE
SESS-000080,2026-01-22 02:23:44,SENTINEL-9,GS-ALPHA-1,DOWNLINK,PROXIMITY-1,2791,HOUSEKEEPING,AES-128,94.81,6.394e-09,262,NONE
SESS-000081,2026-01-22 02:25:10,SENTINEL-9,GS-DELTA-4,DOWNLINK,CCSDS,3014,PAYLOAD_DATA,AES-256,95.96,5.374e-09,242,NONE
SESS-000082,2026-01-22 02:25:51,SENTINEL-9,GS-CHARLIE-3,UPLINK,CCSDS,3138,TELEMETRY,AES-128,99.34,3.076e-09,259,NONE
SESS-000083,2026-01-22 02:26:23,SENTINEL-9,GS-CHARLIE-3,UPLINK,CCSDS,1408,PAYLOAD_DATA,AES-128,92.03,9.196e-09,251,NONE
SESS-000084,2026-01-22 02:28:29,SENTINEL-9,GS-DELTA-4,DOWNLINK,DTN,923,PAYLOAD_DATA,AES-256,98.6,8.172e-09,252,NONE
SESS-000085,2026-01-22 02:31:21,SENTINEL-9,GS-CHARLIE-3,UPLINK,PROXIMITY-1,3333,HOUSEKEEPING,AES-256,98.0,1.731e-09,268,NONE
SESS-000086,2026-01-22 02:34:07,SENTINEL-9,GS-CHARLIE-3,UPLINK,CCSDS,3635,HOUSEKEEPING,AES-128,96.99,4.072e-09,243,NONE
SESS-000087,2026-01-22 02:35:25,SENTINEL-9,GS-DELTA-4,DOWNLINK,DTN,3352,HOUSEKEEPING,AES-128,93.17,1.319e-09,242,NONE
SESS-000088,2026-01-22 02:37:15,SENTINEL-9,GS-CHARLIE-3,UPLINK,DTN,2202,TELEMETRY,AES-256,94.02,1.328e-09,260,NONE
SESS-000089,2026-01-22 02:37:57,SENTINEL-9,GS-BRAVO-2,DOWNLINK,CCSDS,2552,TELEMETRY,AES-128,92.04,5.41e-09,265,NONE
SESS-000090,2026-01-22 02:39:13,SENTINEL-9,GS-BRAVO-2,UPLINK,DTN,3477,PAYLOAD_DATA,AES-256,95.93,4.575e-09,270,NONE
SESS-000091,2026-01-22 02:40:03,SENTINEL-9,GS-CHARLIE-3,UPLINK,CCSDS,3534,COMMAND,AES-256,98.46,2.792e-09,279,NONE
SESS-000092,2026-01-22 02:41:22,SENTINEL-9,GS-DELTA-4,DOWNLINK,DTN,3276,HOUSEKEEPING,NONE,95.81,1.743e-09,241,NONE
SESS-000093,2026-01-22 02:43:45,SENTINEL-9,GS-BRAVO-2,DOWNLINK,CCSDS,4008,TELEMETRY,AES-128,95.67,2.9e-10,257,NONE
SESS-000094,2026-01-22 02:44:19,SENTINEL-9,GS-BRAVO-2,DOWNLINK,DTN,534,PAYLOAD_DATA,AES-256,92.64,6.925e-09,252,NONE
SESS-000095,2026-01-22 02:44:55,SENTINEL-9,GS-CHARLIE-3,UPLINK,DTN,896,COMMAND,NONE,94.2,6.131e-09,253,NONE
SESS-000096,2026-01-22 02:46:01,SENTINEL-9,GS-ALPHA-1,UPLINK,PROXIMITY-1,517,PAYLOAD_DATA,AES-256,98.61,5.754e-09,240,NONE
SESS-000097,2026-01-22 02:47:53,SENTINEL-9,GS-DELTA-4,UPLINK,CCSDS,1790,TELEMETRY,AES-128,96.45,4.012e-09,254,NONE
SESS-000098,2026-01-22 02:49:29,SENTINEL-9,GS-BRAVO-2,UPLINK,CCSDS,4060,TELEMETRY,AES-256,98.86,6.067e-09,262,NONE
SESS-000099,2026-01-22 02:51:41,SENTINEL-9,GS-DELTA-4,UPLINK,PROXIMITY-1,1048,PAYLOAD_DATA,AES-128,93.6,3.597e-09,276,NONE
SESS-000100,2026-01-22 02:53:49,SENTINEL-9,GS-BRAVO-2,UPLINK,PROXIMITY-1,1018,HOUSEKEEPING,AES-256,96.48,9.488e-09,263,NONE
SESS-000101,2026-01-22 02:54:45,SENTINEL-9,GS-ALPHA-1,DOWNLINK,PROXIMITY-1,738,HOUSEKEEPING,AES-256,93.86,7.607e-09,272,NONE
SESS-000102,2026-01-22 02:56:05,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,CCSDS,3217,TELEMETRY,AES-256,92.7,8.378e-09,272,NONE
SESS-000103,2026-01-22 02:57:46,SENTINEL-9,GS-DELTA-4,DOWNLINK,DTN,938,TELEMETRY,NONE,93.81,8.203e-09,249,NONE
SESS-000104,2026-01-22 02:59:49,SENTINEL-9,GS-DELTA-4,DOWNLINK,PROXIMITY-1,3156,TELEMETRY,AES-256,97.28,9.239e-09,269,NONE
SESS-000105,2026-01-22 03:01:06,SENTINEL-9,GS-ALPHA-1,DOWNLINK,PROXIMITY-1,3965,TELEMETRY,AES-256,96.81,9.985e-09,271,NONE
SESS-000106,2026-01-22 03:01:45,SENTINEL-9,GS-ALPHA-1,DOWNLINK,CCSDS,3820,HOUSEKEEPING,NONE,97.65,7.447e-09,266,NONE
SESS-000107,2026-01-22 03:03:48,SENTINEL-9,GS-BRAVO-2,DOWNLINK,PROXIMITY-1,1099,TELEMETRY,AES-256,94.59,9.607e-09,249,NONE
SESS-000108,2026-01-22 03:06:34,SENTINEL-9,GS-ALPHA-1,UPLINK,CCSDS,3191,HOUSEKEEPING,AES-256,95.34,6.96e-09,268,NONE
SESS-000109,2026-01-22 03:08:29,SENTINEL-9,GS-CHARLIE-3,UPLINK,DTN,2888,TELEMETRY,AES-256,97.23,5.703e-09,243,NONE
SESS-000110,2026-01-22 03:10:33,SENTINEL-9,GS-ALPHA-1,DOWNLINK,PROXIMITY-1,820,PAYLOAD_DATA,AES-128,94.54,3.237e-09,256,NONE
SESS-000111,2026-01-22 03:11:48,SENTINEL-9,GS-CHARLIE-3,UPLINK,PROXIMITY-1,1760,TELEMETRY,AES-256,93.04,6.518e-09,256,NONE
SESS-000112,2026-01-22 03:14:35,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,PROXIMITY-1,1709,HOUSEKEEPING,AES-128,96.13,4.276e-09,278,NONE
SESS-000113,2026-01-22 03:15:40,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,DTN,3279,PAYLOAD_DATA,AES-256,93.94,5.956e-09,251,NONE
SESS-000114,2026-01-22 03:16:19,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,DTN,1186,HOUSEKEEPING,AES-128,95.17,5.325e-09,272,NONE
SESS-000115,2026-01-22 03:18:52,SENTINEL-9,GS-ALPHA-1,DOWNLINK,CCSDS,3360,COMMAND,AES-256,93.12,5.944e-09,251,NONE
SESS-000116,2026-01-22 03:19:48,SENTINEL-9,GS-DELTA-4,DOWNLINK,DTN,2705,COMMAND,AES-256,94.5,9.75e-09,250,NONE
SESS-000117,2026-01-22 03:21:36,SENTINEL-9,GS-ALPHA-1,DOWNLINK,CCSDS,1044,HOUSEKEEPING,AES-256,94.67,5.448e-09,270,NONE
SESS-000118,2026-01-22 03:24:32,SENTINEL-9,GS-DELTA-4,UPLINK,PROXIMITY-1,1653,COMMAND,AES-256,96.96,1.616e-09,275,NONE
SESS-000119,2026-01-22 03:27:20,SENTINEL-9,GS-DELTA-4,UPLINK,PROXIMITY-1,1932,HOUSEKEEPING,AES-256,97.62,7.899e-09,257,NONE
SESS-000120,2026-01-22 03:28:21,SENTINEL-9,GS-DELTA-4,UPLINK,CCSDS,2216,PAYLOAD_DATA,AES-256,92.85,4.796e-09,258,NONE
SESS-000121,2026-01-22 03:31:18,SENTINEL-9,GS-BRAVO-2,UPLINK,DTN,1818,PAYLOAD_DATA,NONE,93.37,3.212e-09,244,NONE
SESS-000122,2026-01-22 03:32:33,SENTINEL-9,GS-DELTA-4,DOWNLINK,PROXIMITY-1,752,COMMAND,AES-256,92.59,7.928e-09,256,NONE
SESS-000123,2026-01-22 03:34:02,SENTINEL-9,GS-CHARLIE-3,UPLINK,CCSDS,1443,HOUSEKEEPING,AES-256,94.79,1.813e-09,242,NONE
SESS-000124,2026-01-22 03:35:39,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,PROXIMITY-1,2700,HOUSEKEEPING,AES-128,94.93,4.573e-09,248,NONE
SESS-000125,2026-01-22 03:36:25,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,PROXIMITY-1,1842,TELEMETRY,AES-256,95.45,9.793e-09,261,NONE
SESS-000126,2026-01-22 03:37:59,SENTINEL-9,GS-DELTA-4,DOWNLINK,PROXIMITY-1,2140,TELEMETRY,AES-256,95.8,7.532e-09,255,NONE
SESS-000127,2026-01-22 03:38:47,SENTINEL-9,GS-BRAVO-2,DOWNLINK,CCSDS,4083,TELEMETRY,AES-128,99.25,6.989e-09,277,NONE
SESS-000128,2026-01-22 03:39:21,SENTINEL-9,GS-DELTA-4,UPLINK,PROXIMITY-1,1228,COMMAND,AES-128,98.49,9.543e-09,255,NONE
SESS-000129,2026-01-22 03:41:12,SENTINEL-9,GS-DELTA-4,DOWNLINK,CCSDS,2551,HOUSEKEEPING,AES-256,98.2,1.84e-09,258,NONE
SESS-000130,2026-01-22 03:42:36,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,CCSDS,3185,TELEMETRY,AES-256,92.27,9.265e-09,250,NONE
SESS-000131,2026-01-22 03:44:51,SENTINEL-9,GS-DELTA-4,DOWNLINK,DTN,2704,PAYLOAD_DATA,AES-256,97.29,3.82e-10,246,NONE
SESS-000132,2026-01-22 03:45:24,SENTINEL-9,GS-DELTA-4,UPLINK,CCSDS,1891,TELEMETRY,AES-128,94.92,7.994e-09,264,NONE
SESS-000133,2026-01-22 03:46:12,SENTINEL-9,GS-DELTA-4,UPLINK,CCSDS,3342,PAYLOAD_DATA,AES-128,93.09,7.96e-10,263,NONE
SESS-000134,2026-01-22 03:48:52,SENTINEL-9,GS-DELTA-4,DOWNLINK,PROXIMITY-1,985,PAYLOAD_DATA,AES-128,93.9,1.746e-09,255,NONE
SESS-000135,2026-01-22 03:50:28,SENTINEL-9,GS-CHARLIE-3,UPLINK,CCSDS,893,PAYLOAD_DATA,AES-256,94.12,8.528e-09,258,NONE
SESS-000136,2026-01-22 03:51:26,SENTINEL-9,GS-DELTA-4,DOWNLINK,PROXIMITY-1,844,TELEMETRY,AES-256,98.43,2.189e-09,263,NONE
SESS-000137,2026-01-22 03:54:11,SENTINEL-9,GS-ALPHA-1,UPLINK,CCSDS,3357,COMMAND,AES-256,96.63,5.117e-09,269,NONE
SESS-000138,2026-01-22 03:56:40,SENTINEL-9,GS-ALPHA-1,UPLINK,DTN,3172,HOUSEKEEPING,AES-256,94.17,1.273e-09,246,NONE
SESS-000139,2026-01-22 03:59:22,SENTINEL-9,GS-CHARLIE-3,UPLINK,DTN,3986,HOUSEKEEPING,AES-256,93.75,9.546e-09,256,NONE
SESS-000140,2026-01-22 04:00:55,SENTINEL-9,GS-BRAVO-2,DOWNLINK,DTN,2064,PAYLOAD_DATA,AES-256,92.29,4.958e-09,269,NONE
SESS-000141,2026-01-22 04:01:51,SENTINEL-9,GS-BRAVO-2,DOWNLINK,DTN,2046,COMMAND,AES-128,93.24,9.109e-09,279,NONE
SESS-000142,2026-01-22 04:02:53,SENTINEL-9,GS-DELTA-4,DOWNLINK,DTN,784,PAYLOAD_DATA,AES-256,92.48,7.413e-09,257,NONE
SESS-000143,2026-01-22 04:04:20,SENTINEL-9,GS-ALPHA-1,UPLINK,PROXIMITY-1,2936,TELEMETRY,AES-128,92.35,9.931e-09,255,NONE
SESS-000144,2026-01-22 04:05:51,SENTINEL-9,GS-CHARLIE-3,UPLINK,DTN,1569,TELEMETRY,AES-256,94.37,4.19e-09,255,NONE
SESS-000145,2026-01-22 04:07:42,SENTINEL-9,GS-CHARLIE-3,UPLINK,DTN,1160,COMMAND,AES-256,92.22,5.348e-09,271,NONE
SESS-000146,2026-01-22 04:08:37,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,CCSDS,2050,COMMAND,AES-256,93.02,2.877e-09,272,NONE
SESS-000147,2026-01-22 04:09:20,SENTINEL-9,GS-BRAVO-2,UPLINK,PROXIMITY-1,903,COMMAND,AES-256,96.94,7.13e-10,257,NONE
SESS-000148,2026-01-22 04:10:21,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,CCSDS,1113,PAYLOAD_DATA,AES-128,95.6,8.056e-09,277,NONE
SESS-000149,2026-01-22 04:11:31,SENTINEL-9,GS-CHARLIE-3,DOWNLINK,DTN,3703,HOUSEKEEPING,AES-256,92.96,4.426e-09,260,NONE
SESS-000150,2026-01-22 04:14:22,SENTINEL-9,GS-DELTA-4,DOWNLINK,CCSDS,2260,HOUSEKEEPING,AES-256,95.53,9.8e-10,245,NONE
SESS-000151,2026-01-22 04:15:39,SENTINEL-9,GS-ALPHA-1,DOWNLINK,CCSDS,2332,HOUSEKEEPING,AES-128,92.11,1.885e-09,250,NONE
SESS-000152,2026-01-22 04:17:39,SENTINEL-9,GS-BRAVO-2,DOWNLINK,DTN,2869,HOUSEKEEPING,NONE,95.75,8.605e-09,265,NONE
SESS-000153,2026-01-22 04:18:46,SENTINEL-9,GS-CHARLIE-3,UPLINK,CCSDS,2315,TELEMETRY,AES-256,92.51,8.897e-09,258,NONE
SESS-000154,2026-01-22 04:21:30,SENTINEL-9,GS-BRAVO-2,DOWNLINK,PROXIMITY-1,2830,TELEMETRY,AES-256,96.77,5.576e-09,264,NONE
SESS-000155,2026-01-22 04:22:32,SENTINEL-9,GS-BRAVO-2,DOWNLINK,DTN,1067,HOUSEKEEPING,AES-256,98.31,7.909e-09,245,NONE
SESS-000156,2026-01-22 04:24:48,SENTINEL-9,GS-ALPHA-1,DOWNLINK,CCSDS,3411,PAYLOAD_DATA,AES-256,96.14,7.677e-09,243,NONE
SESS-000157,2026-01-22 04:26:54,SENTINEL-9,GS-BRAVO-2,DOWNLINK,PROXIMITY-1,2795,PAYLOAD_DATA,AES-256,92.72,5.091e-09,252,NONE
