task_id,scheduled_start,scheduled_end,satellite_id,activity_type,target_area,target_lat,target_lon,priority,requesting_unit,classification,status,notes
TASK-000011,2026-01-22 02:23:00,2026-01-22 02:48:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-CHARLIE,73.85,125.33,CRITICAL,NASIC,UNCLASSIFIED,COMPLETED,
TASK-000012,2026-01-22 02:34:00,2026-01-22 02:50:00,SENTINEL-9,SECONDARY_COLLECTION,SVALBARD-MONITOR,78.23,15.63,MEDIUM,NRO-OPS,SECRET,SCHEDULED,
TASK-000013,2026-01-22 02:43:00,2026-01-22 02:59:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-ECHO,77.43,45.18,HIGH,DIA-ANALYSIS,TOP SECRET,SCHEDULED,
TASK-000014,2026-01-22 02:56:00,2026-01-22 03:16:00,SENTINEL-9,ATTITUDE_MANEUVER,SVALBARD-MONITOR,78.23,15.63,HIGH,NRO-OPS,SECRET,IN_PROGRESS,
TASK-000015,2026-01-22 03:08:00,2026-01-22 03:13:00,SENTINEL-9,DOWNLINK_PASS,SVALBARD-MONITOR,78.23,15.63,LOW,NRO-OPS,SECRET,COMPLETED,
TASK-000016,2026-01-22 03:19:00,2026-01-22 03:29:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-BRAVO,76.18,96.72,CRITICAL,INDOPACOM-J2,UNCLASSIFIED,IN_PROGRESS,
TASK-000017,2026-01-22 03:35:00,2026-01-22 03:42:00,SENTINEL-9,DOWNLINK_PASS,FRANZ-JOSEF-LAND,80.12,52.73,LOW,DIA-ANALYSIS,SECRET,SCHEDULED,
TASK-000018,2026-01-22 03:43:00,2026-01-22 03:48:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-BRAVO,76.18,96.72,MEDIUM,NSA-SIGINT,SECRET,COMPLETED,
TASK-000019,2026-01-22 03:57:00,2026-01-22 04:23:00,SENTINEL-9,ATTITUDE_MANEUVER,FRANZ-JOSEF-LAND,80.12,52.73,LOW,NASIC,SECRET,SCHEDULED,
TASK-000020,2026-01-22 04:14:00,2026-01-22 04:36:00,SENTINEL-9,DOWNLINK_PASS,NOVAYA-ZEMLYA-NORTH,76.95,67.58,MEDIUM,NORAD,SECRET,COMPLETED,
TASK-000021,2026-01-22 04:32:00,2026-01-22 04:50:00,SENTINEL-9,ATTITUDE_MANEUVER,FRANZ-JOSEF-LAND,80.12,52.73,LOW,NORTHCOM-J2,SECRET,COMPLETED,
TASK-000022,2026-01-22 04:50:00,2026-01-22 05:00:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-ALPHA,75.52,68.43,LOW,NRO-OPS,TOP SECRET,SCHEDULED,
TASK-000023,2026-01-22 05:09:00,2026-01-22 05:27:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-CHARLIE,73.85,125.33,MEDIUM,NORTHCOM-J2,SECRET,IN_PROGRESS,
TASK-000024,2026-01-22 05:22:00,2026-01-22 05:42:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-BRAVO,76.18,96.72,CRITICAL,NRO-OPS,SECRET,COMPLETED,
TASK-000025,2026-01-22 05:39:00,2026-01-22 06:00:00,SENTINEL-9,PRIMARY_COLLECTION,SVALBARD-MONITOR,78.23,15.63,MEDIUM,INDOPACOM-J2,UNCLASSIFIED,COMPLETED,
TASK-000026,2026-01-22 05:47:00,2026-01-22 05:53:00,SENTINEL-9,DOWNLINK_PASS,SVALBARD-MONITOR,78.23,15.63,MEDIUM,EUCOM-J2,TOP SECRET,COMPLETED,
TASK-000027,2026-01-22 06:02:00,2026-01-22 06:27:00,SENTINEL-9,MAINTENANCE_WINDOW,SVALBARD-MONITOR,78.23,15.63,LOW,NSA-SIGINT,UNCLASSIFIED,COMPLETED,
TASK-000028,2026-01-22 06:15:00,2026-01-22 06:44:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-ALPHA,75.52,68.43,HIGH,NSA-SIGINT,SECRET,IN_PROGRESS,
TASK-000029,2026-01-22 06:31:00,2026-01-22 06:45:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-BRAVO,76.18,96.72,LOW,EUCOM-J2,SECRET,SCHEDULED,
TASK-000030,2026-01-22 06:40:00,2026-01-22 06:52:00,SENTINEL-9,SECONDARY_COLLECTION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,MEDIUM,USSPACECOM,SECRET,COMPLETED,
TASK-000031,2026-01-22 06:48:00,2026-01-22 07:07:00,SENTINEL-9,PRIMARY_COLLECTION,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,EUCOM-J2,SECRET,SCHEDULED,
TASK-000032,2026-01-22 07:06:00,2026-01-22 07:17:00,SENTINEL-9,SECONDARY_COLLECTION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,LOW,USSPACECOM,TOP SECRET,COMPLETED,
TASK-000033,2026-01-22 07:14:00,2026-01-22 07:35:00,SENTINEL-9,ATTITUDE_MANEUVER,SVALBARD-MONITOR,78.23,15.63,MEDIUM,DIA-ANALYSIS,SECRET,COMPLETED,
TASK-000034,2026-01-22 07:29:00,2026-01-22 07:48:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-DELTA,71.64,150.21,HIGH,NRO-OPS,UNCLASSIFIED,COMPLETED,
TASK-000035,2026-01-22 07:40:00,2026-01-22 07:54:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-ECHO,77.43,45.18,MEDIUM,USSPACECOM,TOP SECRET,SCHEDULED,
TASK-000036,2026-01-22 07:55:00,2026-01-22 08:18:00,SENTINEL-9,ATTITUDE_MANEUVER,NOVAYA-ZEMLYA-NORTH,76.95,67.58,MEDIUM,NORAD,SECRET,SCHEDULED,
TASK-000037,2026-01-22 08:14:00,2026-01-22 08:30:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-CHARLIE,73.85,125.33,MEDIUM,NORAD,UNCLASSIFIED,SCHEDULED,
TASK-000038,2026-01-22 08:23:00,2026-01-22 08:48:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-BRAVO,76.18,96.72,MEDIUM,NRO-OPS,SECRET,COMPLETED,
TASK-000039,2026-01-22 08:40:00,2026-01-22 08:48:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-CHARLIE,73.85,125.33,LOW,NASIC,UNCLASSIFIED,COMPLETED,
TASK-000040,2026-01-22 08:59:00,2026-01-22 09:23:00,SENTINEL-9,PRIMARY_COLLECTION,FRANZ-JOSEF-LAND,80.12,52.73,HIGH,NORTHCOM-J2,SECRET,SCHEDULED,
TASK-000041,2026-01-22 09:13:00,2026-01-22 09:19:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-BRAVO,76.18,96.72,HIGH,INDOPACOM-J2,TOP SECRET,SCHEDULED,
TASK-000042,2026-01-22 09:32:00,2026-01-22 09:46:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-DELTA,71.64,150.21,CRITICAL,INDOPACOM-J2,SECRET,CANCELLED,
TASK-000043,2026-01-22 09:41:00,2026-01-22 09:58:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-ECHO,77.43,45.18,LOW,INDOPACOM-J2,SECRET,COMPLETED,
TASK-000044,2026-01-22 09:57:00,2026-01-22 10:14:00,SENTINEL-9,PRIMARY_COLLECTION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,MEDIUM,NORAD,UNCLASSIFIED,COMPLETED,
TASK-000045,2026-01-22 10:06:00,2026-01-22 10:35:00,SENTINEL-9,MAINTENANCE_WINDOW,NOVAYA-ZEMLYA-NORTH,76.95,67.58,CRITICAL,NORTHCOM-J2,TOP SECRET,COMPLETED,
TASK-000046,2026-01-22 10:24:00,2026-01-22 10:34:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-ECHO,77.43,45.18,MEDIUM,NORAD,SECRET,COMPLETED,
TASK-000047,2026-01-22 10:36:00,2026-01-22 11:04:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-CHARLIE,73.85,125.33,MEDIUM,NRO-OPS,UNCLASSIFIED,COMPLETED,
TASK-000048,2026-01-22 10:50:00,2026-01-22 11:10:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-BRAVO,76.18,96.72,LOW,EUCOM-J2,UNCLASSIFIED,IN_PROGRESS,
TASK-000049,2026-01-22 11:01:00,2026-01-22 11:21:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-ECHO,77.43,45.18,MEDIUM,NRO-OPS,UNCLASSIFIED,COMPLETED,
TASK-000050,2026-01-22 11:11:00,2026-01-22 11:37:00,SENTINEL-9,CALIBRATION,SVALBARD-MONITOR,78.23,15.63,LOW,NRO-OPS,UNCLASSIFIED,SCHEDULED,
TASK-000051,2026-01-22 11:19:00,2026-01-22 11:36:00,SENTINEL-9,DOWNLINK_PASS,SVALBARD-MONITOR,78.23,15.63,MEDIUM,INDOPACOM-J2,SECRET,COMPLETED,
TASK-000052,2026-01-22 11:36:00,2026-01-22 11:48:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-BRAVO,76.18,96.72,MEDIUM,DIA-ANALYSIS,TOP SECRET,COMPLETED,
TASK-000053,2026-01-22 11:50:00,2026-01-22 12:16:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,USSPACECOM,SECRET,COMPLETED,
TASK-000054,2026-01-22 12:08:00,2026-01-22 12:33:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-ECHO,77.43,45.18,LOW,NORAD,SECRET,COMPLETED,
TASK-000055,2026-01-22 12:23:00,2026-01-22 12:36:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-ECHO,77.43,45.18,MEDIUM,NORTHCOM-J2,SECRET,COMPLETED,
TASK-000056,2026-01-22 12:31:00,2026-01-22 12:49:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-CHARLIE,73.85,125.33,MEDIUM,NASIC,UNCLASSIFIED,COMPLETED,
TASK-000057,2026-01-22 12:48:00,2026-01-22 13:15:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-ALPHA,75.52,68.43,MEDIUM,NORAD,SECRET,COMPLETED,
TASK-000058,2026-01-22 12:58:00,2026-01-22 13:16:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,NORTHCOM-J2,UNCLASSIFIED,SCHEDULED,
TASK-000059,2026-01-22 13:06:00,2026-01-22 13:15:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-DELTA,71.64,150.21,HIGH,NASIC,UNCLASSIFIED,IN_PROGRESS,
TASK-000060,2026-01-22 13:20:00,2026-01-22 13:25:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,NASIC,SECRET,SCHEDULED,
TASK-000061,2026-01-22 13:39:00,2026-01-22 14:03:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-ECHO,77.43,45.18,MEDIUM,EUCOM-J2,SECRET,COMPLETED,
TASK-000062,2026-01-22 13:54:00,2026-01-22 14:06:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-ALPHA,75.52,68.43,LOW,DIA-ANALYSIS,TOP SECRET,COMPLETED,
TASK-000063,2026-01-22 14:03:00,2026-01-22 14:31:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-ALPHA,75.52,68.43,LOW,NRO-OPS,SECRET,IN_PROGRESS,
TASK-000064,2026-01-22 14:21:00,2026-01-22 14:33:00,SENTINEL-9,SECONDARY_COLLECTION,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,USSPACECOM,UNCLASSIFIED,SCHEDULED,
TASK-000065,2026-01-22 14:36:00,2026-01-22 15:05:00,SENTINEL-9,MAINTENANCE_WINDOW,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,NASIC,SECRET,COMPLETED,
TASK-000066,2026-01-22 14:46:00,2026-01-22 14:58:00,SENTINEL-9,MAINTENANCE_WINDOW,FRANZ-JOSEF-LAND,80.12,52.73,CRITICAL,USSPACECOM,TOP SECRET,SCHEDULED,
TASK-000067,2026-01-22 15:00:00,2026-01-22 15:24:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,INDOPACOM-J2,TOP SECRET,COMPLETED,
TASK-000068,2026-01-22 15:13:00,2026-01-22 15:24:00,SENTINEL-9,MAINTENANCE_WINDOW,NOVAYA-ZEMLYA-NORTH,76.95,67.58,LOW,EUCOM-J2,UNCLASSIFIED,CANCELLED,
TASK-000069,2026-01-22 15:22:00,2026-01-22 15:39:00,SENTINEL-9,ATTITUDE_MANEUVER,SVALBARD-MONITOR,78.23,15.63,HIGH,NRO-OPS,SECRET,COMPLETED,
TASK-000070,2026-01-22 15:31:00,2026-01-22 15:47:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-ALPHA,75.52,68.43,HIGH,NRO-OPS,TOP SECRET,COMPLETED,
TASK-000071,2026-01-22 15:44:00,2026-01-22 15:56:00,SENTINEL-9,DOWNLINK_PASS,NOVAYA-ZEMLYA-NORTH,76.95,67.58,LOW,NORTHCOM-J2,SECRET,IN_PROGRESS,
TASK-000072,2026-01-22 15:52:00,2026-01-22 16:18:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-ECHO,77.43,45.18,LOW,INDOPACOM-J2,TOP SECRET,SCHEDULED,
TASK-000073,2026-01-22 16:06:00,2026-01-22 16:22:00,SENTINEL-9,CALIBRATION,FRANZ-JOSEF-LAND,80.12,52.73,HIGH,INDOPACOM-J2,UNCLASSIFIED,COMPLETED,
TASK-000074,2026-01-22 16:17:00,2026-01-22 16:30:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-CHARLIE,73.85,125.33,HIGH,DIA-ANALYSIS,UNCLASSIFIED,COMPLETED,
TASK-000075,2026-01-22 16:28:00,2026-01-22 16:41:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-BRAVO,76.18,96.72,MEDIUM,NORAD,TOP SECRET,COMPLETED,
TASK-000076,2026-01-22 16:41:00,2026-01-22 17:10:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-BRAVO,76.18,96.72,MEDIUM,NASIC,UNCLASSIFIED,COMPLETED,
TASK-000077,2026-01-22 17:00:00,2026-01-22 17:23:00,SENTINEL-9,CALIBRATION,SVALBARD-MONITOR,78.23,15.63,MEDIUM,NRO-OPS,SECRET,COMPLETED,
TASK-000078,2026-01-22 17:14:00,2026-01-22 17:22:00,SENTINEL-9,PRIMARY_COLLECTION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,HIGH,EUCOM-J2,SECRET,COMPLETED,
TASK-000079,2026-01-22 17:30:00,2026-01-22 17:40:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-BRAVO,76.18,96.72,HIGH,NORAD,SECRET,SCHEDULED,
TASK-000080,2026-01-22 17:40:00,2026-01-22 17:52:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-BRAVO,76.18,96.72,LOW,DIA-ANALYSIS,SECRET,COMPLETED,
TASK-000081,2026-01-22 17:56:00,2026-01-22 18:05:00,SENTINEL-9,DOWNLINK_PASS,SVALBARD-MONITOR,78.23,15.63,MEDIUM,NORTHCOM-J2,SECRET,COMPLETED,
TASK-000082,2026-01-22 18:09:00,2026-01-22 18:31:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-ALPHA,75.52,68.43,MEDIUM,NASIC,SECRET,COMPLETED,
TASK-000083,2026-01-22 18:28:00,2026-01-22 18:35:00,SENTINEL-9,CALIBRATION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,HIGH,NASIC,SECRET,COMPLETED,
TASK-000084,2026-01-22 18:43:00,2026-01-22 18:56:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-BRAVO,76.18,96.72,HIGH,NORTHCOM-J2,SECRET,COMPLETED,
TASK-000085,2026-01-22 18:58:00,2026-01-22 19:16:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-ALPHA,75.52,68.43,MEDIUM,NRO-OPS,TOP SECRET,IN_PROGRESS,
TASK-000086,2026-01-22 19:17:00,2026-01-22 19:42:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,NASIC,TOP SECRET,COMPLETED,
TASK-000087,2026-01-22 19:29:00,2026-01-22 19:40:00,SENTINEL-9,CALIBRATION,FRANZ-JOSEF-LAND,80.12,52.73,HIGH,NORAD,SECRET,COMPLETED,
TASK-000088,2026-01-22 19:39:00,2026-01-22 19:51:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-ECHO,77.43,45.18,MEDIUM,NSA-SIGINT,SECRET,COMPLETED,
TASK-000089,2026-01-22 19:47:00,2026-01-22 20:11:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-CHARLIE,73.85,125.33,MEDIUM,DIA-ANALYSIS,UNCLASSIFIED,IN_PROGRESS,
TASK-000090,2026-01-22 19:58:00,2026-01-22 20:13:00,SENTINEL-9,PRIMARY_COLLECTION,SVALBARD-MONITOR,78.23,15.63,MEDIUM,NSA-SIGINT,UNCLASSIFIED,SCHEDULED,
TASK-000091,2026-01-22 20:15:00,2026-01-22 20:33:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,EUCOM-J2,UNCLASSIFIED,COMPLETED,
TASK-000092,2026-01-22 20:25:00,2026-01-22 20:54:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-DELTA,71.64,150.21,HIGH,NORTHCOM-J2,SECRET,COMPLETED,
TASK-000093,2026-01-22 20:36:00,2026-01-22 20:56:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-ALPHA,75.52,68.43,HIGH,NORAD,SECRET,CANCELLED,
TASK-000094,2026-01-22 20:48:00,2026-01-22 21:09:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-CHARLIE,73.85,125.33,HIGH,EUCOM-J2,TOP SECRET,COMPLETED,
TASK-000095,2026-01-22 20:58:00,2026-01-22 21:18:00,SENTINEL-9,CALIBRATION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,LOW,NSA-SIGINT,UNCLASSIFIED,IN_PROGRESS,
TASK-000096,2026-01-22 21:08:00,2026-01-22 21:26:00,SENTINEL-9,MAINTENANCE_WINDOW,FRANZ-JOSEF-LAND,80.12,52.73,CRITICAL,NORTHCOM-J2,UNCLASSIFIED,COMPLETED,
TASK-000097,2026-01-22 21:21:00,2026-01-22 21:33:00,SENTINEL-9,ATTITUDE_MANEUVER,NOVAYA-ZEMLYA-NORTH,76.95,67.58,MEDIUM,USSPACECOM,SECRET,COMPLETED,
TASK-000098,2026-01-22 21:33:00,2026-01-22 21:42:00,SENTINEL-9,MAINTENANCE_WINDOW,SVALBARD-MONITOR,78.23,15.63,LOW,USSPACECOM,SECRET,COMPLETED,
TASK-000099,2026-01-22 21:41:00,2026-01-22 21:50:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-BRAVO,76.18,96.72,MEDIUM,EUCOM-J2,SECRET,COMPLETED,
TASK-000100,2026-01-22 21:53:00,2026-01-22 22:03:00,SENTINEL-9,SECONDARY_COLLECTION,FRANZ-JOSEF-LAND,80.12,52.73,HIGH,EUCOM-J2,SECRET,SCHEDULED,
TASK-000101,2026-01-22 22:01:00,2026-01-22 22:17:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-DELTA,71.64,150.21,MEDIUM,DIA-ANALYSIS,UNCLASSIFIED,CANCELLED,
TASK-000102,2026-01-22 22:09:00,2026-01-22 22:29:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-BRAVO,76.18,96.72,HIGH,NSA-SIGINT,SECRET,COMPLETED,
TASK-000103,2026-01-22 22:19:00,2026-01-22 22:27:00,SENTINEL-9,SECONDARY_COLLECTION,SVALBARD-MONITOR,78.23,15.63,MEDIUM,EUCOM-J2,TOP SECRET,COMPLETED,
TASK-000104,2026-01-22 22:35:00,2026-01-22 22:44:00,SENTINEL-9,SECONDARY_COLLECTION,FRANZ-JOSEF-LAND,80.12,52.73,HIGH,NASIC,UNCLASSIFIED,COMPLETED,
TASK-000105,2026-01-22 22:54:00,2026-01-22 23:11:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-ALPHA,75.52,68.43,MEDIUM,NSA-SIGINT,SECRET,COMPLETED,
TASK-000106,2026-01-22 23:13:00,2026-01-22 23:28:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-ECHO,77.43,45.18,HIGH,NORAD,TOP SECRET,COMPLETED,
TASK-000107,2026-01-22 23:28:00,2026-01-22 23:44:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-BRAVO,76.18,96.72,MEDIUM,NASIC,SECRET,COMPLETED,
TASK-000108,2026-01-22 23:46:00,2026-01-23 00:03:00,SENTINEL-9,MAINTENANCE_WINDOW,NOVAYA-ZEMLYA-NORTH,76.95,67.58,LOW,USSPACECOM,UNCLASSIFIED,COMPLETED,
TASK-000109,2026-01-22 23:55:00,2026-01-23 00:23:00,SENTINEL-9,DOWNLINK_PASS,FRANZ-JOSEF-LAND,80.12,52.73,HIGH,NSA-SIGINT,SECRET,COMPLETED,
TASK-000110,2026-01-23 00:09:00,2026-01-23 00:23:00,SENTINEL-9,MAINTENANCE_WINDOW,FRANZ-JOSEF-LAND,80.12,52.73,CRITICAL,EUCOM-J2,TOP SECRET,COMPLETED,
TASK-000111,2026-01-23 00:17:00,2026-01-23 00:29:00,SENTINEL-9,MAINTENANCE_WINDOW,NOVAYA-ZEMLYA-NORTH,76.95,67.58,MEDIUM,DIA-ANALYSIS,SECRET,COMPLETED,
TASK-000112,2026-01-23 00:32:00,2026-01-23 00:53:00,SENTINEL-9,DOWNLINK_PASS,NOVAYA-ZEMLYA-NORTH,76.95,67.58,MEDIUM,DIA-ANALYSIS,SECRET,SCHEDULED,
TASK-000113,2026-01-23 00:45:00,2026-01-23 01:08:00,SENTINEL-9,PRIMARY_COLLECTION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,CRITICAL,NORAD,SECRET,COMPLETED,
TASK-000114,2026-01-23 00:55:00,2026-01-23 01:10:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-CHARLIE,73.85,125.33,MEDIUM,NRO-OPS,SECRET,COMPLETED,
TASK-000115,2026-01-23 01:13:00,2026-01-23 01:41:00,SENTINEL-9,SECONDARY_COLLECTION,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,NASIC,SECRET,COMPLETED,
TASK-000116,2026-01-23 01:32:00,2026-01-23 01:52:00,SENTINEL-9,PRIMARY_COLLECTION,NOVAYA-ZEMLYA-NORTH,76.95,67.58,MEDIUM,NSA-SIGINT,SECRET,COMPLETED,
TASK-000117,2026-01-23 01:41:00,2026-01-23 01:51:00,SENTINEL-9,MAINTENANCE_WINDOW,SVALBARD-MONITOR,78.23,15.63,LOW,DIA-ANALYSIS,TOP SECRET,SCHEDULED,
TASK-000118,2026-01-23 01:59:00,2026-01-23 02:15:00,SENTINEL-9,CALIBRATION,NSR-WAYPOINT-ECHO,77.43,45.18,MEDIUM,NASIC,UNCLASSIFIED,COMPLETED,
TASK-000119,2026-01-23 02:16:00,2026-01-23 02:45:00,SENTINEL-9,ATTITUDE_MANEUVER,NSR-WAYPOINT-DELTA,71.64,150.21,LOW,NSA-SIGINT,SECRET,IN_PROGRESS,
TASK-000120,2026-01-23 02:33:00,2026-01-23 02:59:00,SENTINEL-9,DOWNLINK_PASS,NSR-WAYPOINT-ECHO,77.43,45.18,MEDIUM,NSA-SIGINT,SECRET,SCHEDULED,
TASK-000121,2026-01-23 02:44:00,2026-01-23 03:12:00,SENTINEL-9,PRIMARY_COLLECTION,NSR-WAYPOINT-BRAVO,76.18,96.72,HIGH,DIA-ANALYSIS,SECRET,SCHEDULED,
TASK-000122,2026-01-23 02:52:00,2026-01-23 03:05:00,SENTINEL-9,ATTITUDE_MANEUVER,NOVAYA-ZEMLYA-NORTH,76.95,67.58,MEDIUM,USSPACECOM,SECRET,SCHEDULED,
TASK-000123,2026-01-23 03:02:00,2026-01-23 03:22:00,SENTINEL-9,SECONDARY_COLLECTION,NSR-WAYPOINT-ALPHA,75.52,68.43,MEDIUM,DIA-ANALYSIS,UNCLASSIFIED,COMPLETED,
TASK-000124,2026-01-23 03:10:00,2026-01-23 03:31:00,SENTINEL-9,CALIBRATION,FRANZ-JOSEF-LAND,80.12,52.73,MEDIUM,DIA-ANALYSIS,SECRET,COMPLETED,
TASK-000125,2026-01-23 03:22:00,2026-01-23 03:28:00,SENTINEL-9,MAINTENANCE_WINDOW,NSR-WAYPOINT-ECHO,77.43,45.18,MEDIUM,DIA-ANALYSIS,TOP SECRET,SCHEDULED,
