alert_id,timestamp,satellite_id,severity,affected_system,alert_type,description,acknowledged,acknowledged_by,resolution_status
ALERT-00032,2026-01-26 18:00:00,SENTINEL-9,INFO,COMMS,ROUTINE,Scheduled ground pass completed,YES,OP-CHEN,RESOLVED
ALERT-00033,2026-01-26 23:00:00,SENTINEL-9,INFO,TELEMETRY,ROUTINE,Routine telemetry beacon received,YES,OP-CHEN,RESOLVED
ALERT-00034,2026-01-27 04:00:00,SENTINEL-9,INFO,COMMS,ROUTINE,Scheduled ground pass completed,YES,OP-TANAKA,RESOLVED
ALERT-00035,2026-01-27 08:00:00,SENTINEL-9,LOW,POWER,ADVISORY,Battery charge cycle initiated,YES,OP-CHEN,RESOLVED
ALERT-00036,2026-01-27 13:00:00,SENTINEL-9,LOW,THERMAL,ADVISORY,Minor thermal fluctuation detected - within tolerance,YES,OP-RODRIGUEZ,RESOLVED
ALERT-00037,2026-01-27 16:00:00,SENTINEL-9,LOW,THERMAL,ADVISORY,Minor thermal fluctuation detected - within tolerance,YES,OP-RODRIGUEZ,RESOLVED
ALERT-00038,2026-01-27 20:00:00,SENTINEL-9,INFO,COMMS,ROUTINE,Scheduled ground pass completed,YES,OP-JENSEN,RESOLVED
ALERT-00039,2026-01-28 00:00:00,SENTINEL-9,INFO,COMMS,ROUTINE,Scheduled ground pass completed,YES,OP-CHEN,RESOLVED
ALERT-00040,2026-01-28 03:00:00,SENTINEL-9,INFO,ATTITUDE,ROUTINE,Attitude adjustment completed,YES,OP-KOWALSKI,RESOLVED
ALERT-00041,2026-01-28 06:00:00,SENTINEL-9,INFO,COMMS,ROUTINE,Scheduled ground pass completed,YES,OP-KOWALSKI,RESOLVED
ALERT-00042,2026-01-28 08:00:00,SENTINEL-9,INFO,TELEMETRY,ROUTINE,Routine telemetry beacon received,YES,OP-MUELLER,RESOLVED
ALERT-00043,2026-01-28 12:00:00,SENTINEL-9,INFO,COMMS,ROUTINE,Scheduled ground pass completed,YES,OP-RODRIGUEZ,RESOLVED
ALERT-00044,2026-01-28 14:23:00,SENTINEL-9,HIGH,COMMAND_AUTH,ANOMALY,AUTHENTICATION ANOMALY DETECTED - Unrecognized command source identifier in recent command history. Command execution logs show activity from unregistered ground station. Immediate investigation required.,NO,,OPEN
ALERT-00045,2026-01-28 14:35:00,SENTINEL-9,MEDIUM,PAYLOAD,ANOMALY,IMAGE METADATA INTEGRITY CHECK FAILED - Multiple images flagged with hash verification failures. Metadata timestamps inconsistent with command log.,NO,,OPEN
ALERT-00046,2026-01-28 14:41:00,SENTINEL-9,HIGH,MISSION_PLANNING,ANOMALY,UNAUTHORIZED COLLECTION ACTIVITY SUSPECTED - Image target coordinates outside approved mission area detected. Coordinates do not match any scheduled collection tasks.,NO,,OPEN
