image_id,capture_timestamp,metadata_timestamp,downlink_timestamp,satellite_id,sensor_id,sensor_mode,target_lat,target_lon,target_name,pointing_azimuth_deg,pointing_elevation_deg,exposure_ms,gain_setting,sun_angle_deg,eclipse_status,resolution_m,compression_ratio,file_size_mb,pixelation_index,noise_floor_db,calibration_drift,hash_verification_status,metadata_hash,commanding_station,collection_priority
IMG-000015,2026-01-22 01:48:00,2026-01-22 01:48:00,2026-01-22 02:26:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,75.5477,68.4587,NSR-WAYPOINT-ALPHA,67.774,84.001,10,2,5.59,SUNLIT,0.33,0.942,72.67,0.0253,-49.0,0.0184,VALID,9AFF887A90A4B430,GS-BRAVO-2,OPPORTUNISTIC
IMG-000016,2026-01-22 01:52:00,2026-01-22 01:52:00,2026-01-22 02:11:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,73.8164,125.3577,NSR-WAYPOINT-CHARLIE,125.752,85.806,8,2,8.83,SUNLIT,0.31,0.977,46.19,0.0404,-49.6,0.0193,VALID,B3939CFABB6F4098,GS-DELTA-4,OPPORTUNISTIC
IMG-000017,2026-01-22 01:55:00,2026-01-22 01:55:00,2026-01-22 02:34:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,77.4418,45.1392,NSR-WAYPOINT-ECHO,46.371,81.923,5,2,20.26,SUNLIT,0.49,0.927,72.35,0.0222,-49.36,0.0063,VALID,EFBF788DFC515A10,GS-CHARLIE-3,SCHEDULED
IMG-000018,2026-01-22 01:58:00,2026-01-22 01:58:00,2026-01-22 02:14:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,73.8743,125.316,NSR-WAYPOINT-CHARLIE,126.741,86.684,7,1,12.14,SUNLIT,0.3,0.953,55.25,0.039,-51.43,0.0099,VALID,9C69D84C441ABECA,GS-CHARLIE-3,OPPORTUNISTIC
IMG-000019,2026-01-22 02:01:00,2026-01-22 02:01:00,2026-01-22 02:31:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,78.1877,15.6513,SVALBARD-MONITOR,13.996,80.882,10,2,11.86,SUNLIT,0.31,0.969,78.42,0.0381,-51.82,0.0083,VALID,D7AFE5225F412770,GS-ALPHA-1,SCHEDULED
IMG-000020,2026-01-22 02:04:00,2026-01-22 02:04:00,2026-01-22 02:18:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,76.9245,67.5303,NOVAYA-ZEMLYA-NORTH,66.363,82.374,9,2,20.98,SUNLIT,0.42,0.979,78.34,0.0201,-48.31,0.0186,VALID,C3962E3CCBFA53E5,GS-BRAVO-2,OPPORTUNISTIC
IMG-000021,2026-01-22 02:09:00,2026-01-22 02:09:00,2026-01-22 02:38:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,71.6895,150.1626,NSR-WAYPOINT-DELTA,150.224,88.018,7,2,24.07,SUNLIT,0.48,0.924,60.52,0.0278,-49.1,0.0073,VALID,69926C96E1DF4A2C,GS-BRAVO-2,PRIORITY
IMG-000022,2026-01-22 02:12:00,2026-01-22 02:12:00,2026-01-22 02:44:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,76.9127,67.6207,NOVAYA-ZEMLYA-NORTH,69.01,83.095,7,2,6.01,SUNLIT,0.42,0.953,49.15,0.0246,-51.33,0.0154,VALID,24A51B33484B0266,GS-CHARLIE-3,SCHEDULED
IMG-000023,2026-01-22 02:17:00,2026-01-22 02:17:00,2026-01-22 02:30:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,80.1012,52.7546,FRANZ-JOSEF-LAND,53.109,80.449,9,1,8.71,SUNLIT,0.44,0.962,78.75,0.0226,-50.93,0.019,VALID,5ACE65312AAB934E,GS-ALPHA-1,PRIORITY
IMG-000024,2026-01-22 02:22:00,2026-01-22 02:22:00,2026-01-22 03:06:00,SENTINEL-9,EO-PRIMARY,STARING,80.1133,52.7395,FRANZ-JOSEF-LAND,51.307,80.75,9,1,11.68,SUNLIT,0.48,0.922,71.03,0.0136,-48.71,0.004,VALID,1680612E42C9EB8F,GS-CHARLIE-3,PRIORITY
IMG-000025,2026-01-22 02:25:00,2026-01-22 02:25:00,2026-01-22 03:00:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,80.0889,52.7672,FRANZ-JOSEF-LAND,53.311,78.99,5,2,18.84,SUNLIT,0.35,0.973,56.05,0.0487,-51.54,0.012,VALID,EE1BBEF63A3D3E28,GS-BRAVO-2,PRIORITY
IMG-000026,2026-01-22 02:29:00,2026-01-22 02:29:00,2026-01-22 02:47:00,SENTINEL-9,EO-PRIMARY,STARING,73.8141,125.3769,NSR-WAYPOINT-CHARLIE,124.377,85.402,10,2,16.49,SUNLIT,0.4,0.974,48.42,0.0185,-51.85,0.0103,VALID,FB3389A4AA8D6328,GS-BRAVO-2,SCHEDULED
IMG-000027,2026-01-22 02:33:00,2026-01-22 02:33:00,2026-01-22 03:07:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,80.1241,52.7706,FRANZ-JOSEF-LAND,52.872,79.435,8,1,12.41,SUNLIT,0.43,0.936,80.6,0.017,-49.35,0.0097,VALID,2E1470500AA1F4E7,GS-BRAVO-2,SCHEDULED
IMG-000028,2026-01-22 02:36:00,2026-01-22 02:36:00,2026-01-22 03:14:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,77.3831,45.1571,NSR-WAYPOINT-ECHO,46.228,82.69,10,2,24.08,SUNLIT,0.37,0.973,45.37,0.0479,-51.0,0.0189,VALID,F0ED045BC43859BC,GS-ALPHA-1,PRIORITY
IMG-000029,2026-01-22 02:41:00,2026-01-22 02:41:00,2026-01-22 02:52:00,SENTINEL-9,EO-PRIMARY,STARING,76.973,67.56,NOVAYA-ZEMLYA-NORTH,65.714,82.857,5,2,8.21,SUNLIT,0.49,0.979,66.53,0.0281,-50.46,0.0159,VALID,FCF6128FC3FBB3C2,GS-BRAVO-2,OPPORTUNISTIC
IMG-000030,2026-01-22 02:45:00,2026-01-22 02:45:00,2026-01-22 03:10:00,SENTINEL-9,EO-PRIMARY,STARING,76.9298,67.5384,NOVAYA-ZEMLYA-NORTH,69.218,82.26,8,2,13.06,SUNLIT,0.32,0.931,80.53,0.0109,-51.28,0.0115,VALID,3828B2A47D19A6EA,GS-BRAVO-2,PRIORITY
IMG-000031,2026-01-22 02:48:00,2026-01-22 02:48:00,2026-01-22 02:58:00,SENTINEL-9,EO-PRIMARY,STARING,76.9667,67.5945,NOVAYA-ZEMLYA-NORTH,66.804,82.977,11,2,8.54,SUNLIT,0.49,0.935,48.72,0.0241,-51.16,0.0157,VALID,9DAC541024F2F6E9,GS-BRAVO-2,PRIORITY
IMG-000032,2026-01-22 02:51:00,2026-01-22 02:51:00,2026-01-22 03:01:00,SENTINEL-9,EO-PRIMARY,STARING,71.6637,150.229,NSR-WAYPOINT-DELTA,149.064,88.992,11,2,23.44,SUNLIT,0.32,0.949,82.94,0.0291,-50.58,0.0103,VALID,B607582A0A388BD7,GS-ALPHA-1,PRIORITY
IMG-000033,2026-01-22 02:56:00,2026-01-22 02:56:00,2026-01-22 03:15:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,76.1794,96.6729,NSR-WAYPOINT-BRAVO,95.722,83.527,7,1,11.16,SUNLIT,0.44,0.974,46.87,0.0142,-50.26,0.0026,VALID,87948F2671294800,GS-CHARLIE-3,SCHEDULED
IMG-000034,2026-01-22 03:00:00,2026-01-22 03:00:00,2026-01-22 03:34:00,SENTINEL-9,EO-PRIMARY,STARING,77.38,45.1806,NSR-WAYPOINT-ECHO,46.815,83.395,9,1,9.38,SUNLIT,0.45,0.966,78.87,0.0469,-50.0,0.0145,VALID,87425C8B6153A64C,GS-BRAVO-2,PRIORITY
IMG-000035,2026-01-22 03:03:00,2026-01-22 03:03:00,2026-01-22 03:19:00,SENTINEL-9,EO-PRIMARY,STARING,75.5089,68.4651,NSR-WAYPOINT-ALPHA,68.507,83.749,8,1,24.42,SUNLIT,0.42,0.928,64.38,0.0387,-49.68,0.0105,VALID,D6FE0CBCE30F0643,GS-ALPHA-1,PRIORITY
IMG-000036,2026-01-22 03:07:00,2026-01-22 03:07:00,2026-01-22 03:39:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,80.0971,52.7044,FRANZ-JOSEF-LAND,54.684,80.403,7,2,8.41,SUNLIT,0.48,0.921,60.48,0.036,-51.23,0.0088,VALID,B7CBFA6F37B30F1E,GS-CHARLIE-3,OPPORTUNISTIC
IMG-000037,2026-01-22 03:10:00,2026-01-22 03:10:00,2026-01-22 03:42:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,80.0825,52.728,FRANZ-JOSEF-LAND,53.37,79.324,7,2,21.45,SUNLIT,0.35,0.927,61.36,0.0211,-52.0,0.0174,VALID,54DF9D0E52DF094A,GS-CHARLIE-3,OPPORTUNISTIC
IMG-000038,2026-01-22 03:13:00,2026-01-22 03:13:00,2026-01-22 03:57:00,SENTINEL-9,EO-PRIMARY,STARING,76.9445,67.6026,NOVAYA-ZEMLYA-NORTH,67.791,83.603,11,1,9.55,SUNLIT,0.47,0.936,60.63,0.0311,-48.6,0.0021,VALID,26C7E731A2CCCCFF,GS-DELTA-4,SCHEDULED
IMG-000039,2026-01-22 03:16:00,2026-01-22 03:16:00,2026-01-22 03:43:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,77.3904,45.2196,NSR-WAYPOINT-ECHO,45.611,82.529,11,1,12.56,SUNLIT,0.5,0.925,47.57,0.0157,-48.98,0.0147,VALID,32E0998D90E9EE57,GS-ALPHA-1,SCHEDULED
IMG-000040,2026-01-22 03:21:00,2026-01-22 03:21:00,2026-01-22 04:01:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,78.2201,15.6506,SVALBARD-MONITOR,15.431,82.269,8,2,17.37,SUNLIT,0.43,0.928,82.8,0.0238,-49.29,0.0049,VALID,3A8CD69A46CEC574,GS-DELTA-4,OPPORTUNISTIC
IMG-000041,2026-01-22 03:26:00,2026-01-22 03:26:00,2026-01-22 03:57:00,SENTINEL-9,EO-PRIMARY,STARING,77.3949,45.1304,NSR-WAYPOINT-ECHO,46.965,83.516,8,1,8.6,SUNLIT,0.42,0.951,84.26,0.011,-49.17,0.0073,VALID,FA4D7109EABCC5BA,GS-CHARLIE-3,PRIORITY
IMG-000042,2026-01-22 03:31:00,2026-01-22 03:31:00,2026-01-22 03:48:00,SENTINEL-9,EO-PRIMARY,STARING,78.277,15.6456,SVALBARD-MONITOR,16.257,81.78,6,2,6.38,SUNLIT,0.31,0.927,48.76,0.0293,-48.02,0.0138,VALID,DB0A129D437CD7A2,GS-CHARLIE-3,SCHEDULED
IMG-000043,2026-01-22 03:35:00,2026-01-22 03:35:00,2026-01-22 03:56:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,76.1955,96.6865,NSR-WAYPOINT-BRAVO,98.469,83.036,8,2,18.65,SUNLIT,0.39,0.926,70.78,0.0363,-50.54,0.0143,VALID,29BCBAA8779E417A,GS-DELTA-4,PRIORITY
IMG-000044,2026-01-22 03:40:00,2026-01-22 03:40:00,2026-01-22 04:05:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,76.1586,96.7005,NSR-WAYPOINT-BRAVO,97.916,83.096,10,2,19.1,SUNLIT,0.45,0.971,46.47,0.0258,-48.32,0.0111,VALID,26D192B88C3D806E,GS-DELTA-4,PRIORITY
IMG-000045,2026-01-22 03:45:00,2026-01-22 03:45:00,2026-01-22 04:22:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,76.9753,67.5709,NOVAYA-ZEMLYA-NORTH,65.696,84.013,8,2,23.52,SUNLIT,0.36,0.95,59.17,0.0263,-48.92,0.0092,VALID,B754F5E5609D7A3E,GS-BRAVO-2,PRIORITY
IMG-000046,2026-01-22 03:49:00,2026-01-22 03:49:00,2026-01-22 04:07:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,73.815,125.3188,NSR-WAYPOINT-CHARLIE,124.317,87.109,11,2,15.0,SUNLIT,0.33,0.923,46.31,0.0227,-49.03,0.0152,VALID,57CCAC0E8CEA9305,GS-DELTA-4,OPPORTUNISTIC
IMG-000047,2026-01-22 03:53:00,2026-01-22 03:53:00,2026-01-22 04:19:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,76.1983,96.7259,NSR-WAYPOINT-BRAVO,98.369,84.586,7,2,23.83,SUNLIT,0.36,0.951,47.04,0.039,-48.35,0.0088,VALID,1E3FDAF12355947E,GS-DELTA-4,OPPORTUNISTIC
IMG-000048,2026-01-22 03:57:00,2026-01-22 03:57:00,2026-01-22 04:21:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,76.9129,67.5533,NOVAYA-ZEMLYA-NORTH,68.27,83.722,5,2,23.46,SUNLIT,0.44,0.951,66.07,0.0216,-48.44,0.0043,VALID,FB5ABB6736295781,GS-BRAVO-2,PRIORITY
IMG-000049,2026-01-22 04:01:00,2026-01-22 04:01:00,2026-01-22 04:24:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,75.5156,68.3984,NSR-WAYPOINT-ALPHA,66.625,85.065,10,1,20.68,SUNLIT,0.43,0.921,82.99,0.0322,-51.51,0.0162,VALID,7DEAA36D7482B4C1,GS-CHARLIE-3,SCHEDULED
IMG-000050,2026-01-22 04:06:00,2026-01-22 04:06:00,2026-01-22 04:30:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,73.819,125.3477,NSR-WAYPOINT-CHARLIE,126.442,86.775,8,2,22.9,SUNLIT,0.5,0.943,81.77,0.0278,-50.66,0.0099,VALID,8E10B433746B812A,GS-BRAVO-2,SCHEDULED
IMG-000051,2026-01-22 04:11:00,2026-01-22 04:11:00,2026-01-22 04:24:00,SENTINEL-9,EO-PRIMARY,STARING,76.9043,67.5729,NOVAYA-ZEMLYA-NORTH,67.845,83.552,7,2,24.59,SUNLIT,0.49,0.931,63.47,0.0317,-50.91,0.014,VALID,BC9FE7461404FE64,GS-CHARLIE-3,OPPORTUNISTIC
IMG-000052,2026-01-22 04:15:00,2026-01-22 04:15:00,2026-01-22 04:40:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,73.8159,125.3006,NSR-WAYPOINT-CHARLIE,125.464,85.822,9,2,5.71,SUNLIT,0.39,0.965,77.46,0.0494,-50.31,0.0191,VALID,88EDD525F75DD9C2,GS-ALPHA-1,OPPORTUNISTIC
IMG-000053,2026-01-22 04:20:00,2026-01-22 04:20:00,2026-01-22 04:35:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,77.4526,45.1782,NSR-WAYPOINT-ECHO,46.035,83.317,6,2,15.06,SUNLIT,0.42,0.95,75.17,0.0485,-50.82,0.0041,VALID,009DC89AED0863B2,GS-BRAVO-2,PRIORITY
IMG-000054,2026-01-22 04:23:00,2026-01-22 04:23:00,2026-01-22 05:01:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,71.6526,150.2319,NSR-WAYPOINT-DELTA,150.858,88.385,8,1,5.35,SUNLIT,0.47,0.952,83.04,0.0466,-48.29,0.014,VALID,C687FD6C3A8B0794,GS-CHARLIE-3,OPPORTUNISTIC
IMG-000055,2026-01-22 04:28:00,2026-01-22 04:28:00,2026-01-22 05:09:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,75.5615,68.4682,NSR-WAYPOINT-ALPHA,70.418,83.827,8,2,11.24,SUNLIT,0.33,0.923,61.12,0.0386,-50.27,0.0179,VALID,200A21336B84A697,GS-CHARLIE-3,OPPORTUNISTIC
IMG-000056,2026-01-22 04:31:00,2026-01-22 04:31:00,2026-01-22 05:14:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,71.6186,150.2482,NSR-WAYPOINT-DELTA,149.896,88.247,6,1,24.83,SUNLIT,0.47,0.923,61.76,0.0362,-48.93,0.0104,VALID,16C32EE75F0A3722,GS-ALPHA-1,PRIORITY
IMG-000057,2026-01-22 04:35:00,2026-01-22 04:35:00,2026-01-22 05:11:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,76.9725,67.5383,NOVAYA-ZEMLYA-NORTH,69.566,83.655,5,2,21.13,SUNLIT,0.45,0.974,74.67,0.0329,-50.63,0.009,VALID,94F9D750979B487B,GS-BRAVO-2,SCHEDULED
IMG-000058,2026-01-22 04:39:00,2026-01-22 04:39:00,2026-01-22 05:02:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,73.8438,125.3529,NSR-WAYPOINT-CHARLIE,124.582,85.471,7,2,13.28,SUNLIT,0.45,0.937,67.06,0.0205,-49.23,0.0086,VALID,56C2197E01D98906,GS-CHARLIE-3,SCHEDULED
IMG-000059,2026-01-22 04:44:00,2026-01-22 04:44:00,2026-01-22 05:27:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,73.8945,125.2814,NSR-WAYPOINT-CHARLIE,124.912,85.203,10,2,8.54,SUNLIT,0.4,0.923,83.55,0.0332,-51.89,0.0167,VALID,D5B5A8914E33C5B6,GS-DELTA-4,PRIORITY
IMG-000060,2026-01-22 04:48:00,2026-01-22 04:48:00,2026-01-22 05:13:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,75.5301,68.3807,NSR-WAYPOINT-ALPHA,67.95,83.748,9,1,16.82,SUNLIT,0.4,0.974,77.7,0.0215,-51.65,0.0173,VALID,4AEFE1E5FEF60256,GS-CHARLIE-3,OPPORTUNISTIC
IMG-000061,2026-01-22 04:53:00,2026-01-22 04:53:00,2026-01-22 05:17:00,SENTINEL-9,EO-PRIMARY,STARING,76.992,67.6211,NOVAYA-ZEMLYA-NORTH,66.309,83.582,11,1,18.55,SUNLIT,0.48,0.98,78.41,0.036,-51.2,0.0121,VALID,27ACE0A06111987E,GS-CHARLIE-3,SCHEDULED
IMG-000062,2026-01-22 04:58:00,2026-01-22 04:58:00,2026-01-22 05:35:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,76.9743,67.5631,NOVAYA-ZEMLYA-NORTH,68.675,82.669,6,1,7.38,SUNLIT,0.49,0.945,47.55,0.0217,-49.67,0.0177,VALID,DBB0CCDD1E76888C,GS-CHARLIE-3,PRIORITY
IMG-000063,2026-01-22 05:03:00,2026-01-22 05:03:00,2026-01-22 05:29:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,73.8861,125.3703,NSR-WAYPOINT-CHARLIE,126.327,85.253,8,2,19.68,SUNLIT,0.47,0.955,45.19,0.0411,-49.68,0.0064,VALID,3465BF0262F19186,GS-BRAVO-2,SCHEDULED
IMG-000064,2026-01-22 05:08:00,2026-01-22 05:08:00,2026-01-22 05:18:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,76.9479,67.5478,NOVAYA-ZEMLYA-NORTH,68.178,82.536,6,2,20.38,SUNLIT,0.41,0.941,54.24,0.0498,-49.62,0.0159,VALID,45A077FF67FE3E3F,GS-CHARLIE-3,PRIORITY
IMG-000065,2026-01-22 05:11:00,2026-01-22 05:11:00,2026-01-22 05:41:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,73.8492,125.333,NSR-WAYPOINT-CHARLIE,126.976,87.025,6,2,15.2,SUNLIT,0.32,0.942,80.88,0.0237,-49.73,0.002,VALID,ED6A016AE6E37F65,GS-ALPHA-1,PRIORITY
IMG-000066,2026-01-22 05:14:00,2026-01-22 05:14:00,2026-01-22 05:38:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,77.4255,45.2075,NSR-WAYPOINT-ECHO,43.523,82.225,8,1,21.69,SUNLIT,0.43,0.937,82.53,0.0409,-48.58,0.0159,VALID,232927431D64B299,GS-DELTA-4,PRIORITY
IMG-000067,2026-01-22 05:18:00,2026-01-22 05:18:00,2026-01-22 05:55:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,75.5057,68.4608,NSR-WAYPOINT-ALPHA,67.321,85.085,11,1,16.62,SUNLIT,0.38,0.93,52.54,0.0384,-48.46,0.0108,VALID,56A63D1701377A6F,GS-DELTA-4,OPPORTUNISTIC
IMG-000068,2026-01-22 05:21:00,2026-01-22 05:21:00,2026-01-22 06:02:00,SENTINEL-9,EO-PRIMARY,STARING,75.4982,68.4685,NSR-WAYPOINT-ALPHA,69.522,84.913,7,2,24.56,SUNLIT,0.32,0.972,58.45,0.024,-49.27,0.0119,VALID,24E86D7F630C286D,GS-CHARLIE-3,SCHEDULED
IMG-000069,2026-01-22 05:25:00,2026-01-22 05:25:00,2026-01-22 05:45:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,73.8641,125.3472,NSR-WAYPOINT-CHARLIE,126.244,87.079,6,1,7.77,SUNLIT,0.41,0.94,77.04,0.0262,-51.61,0.0195,VALID,DA69F5C4E02AFDC2,GS-ALPHA-1,PRIORITY
IMG-000070,2026-01-22 05:29:00,2026-01-22 05:29:00,2026-01-22 06:04:00,SENTINEL-9,EO-PRIMARY,SPOTLIGHT,80.1615,52.7219,FRANZ-JOSEF-LAND,53.008,79.297,6,1,9.79,SUNLIT,0.41,0.976,81.51,0.0489,-51.28,0.0107,VALID,BBCB23D068A6C2CD,GS-ALPHA-1,PRIORITY
IMG-000071,2026-01-22 05:34:00,2026-01-22 05:34:00,2026-01-22 06:14:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,76.9999,67.589,NOVAYA-ZEMLYA-NORTH,66.838,82.289,8,1,12.15,SUNLIT,0.37,0.92,73.42,0.0274,-49.47,0.0083,VALID,15ACC19BBF9654E9,GS-BRAVO-2,PRIORITY
IMG-000072,2026-01-22 05:39:00,2026-01-22 05:39:00,2026-01-22 06:09:00,SENTINEL-9,EO-PRIMARY,PUSHBROOM,75.4991,68.4725,NSR-WAYPOINT-ALPHA,69.382,84.962,10,2,13.19,SUNLIT,0.38,0.922,59.46,0.0346,-51.25,0.0189,VALID,33D6074CD9056C12,GS-CHARLIE-3,PRIORITY
