command_id,timestamp,satellite_id,command_type,source_station_id,source_station_location,operator_id,auth_token_hash,target_lat,target_lon,target_name,priority,response_code,execution_status,execution_duration_ms
CMD-000014,2026-01-22 01:29:00,SENTINEL-9,IMAGE_CAPTURE,GS-ALPHA-1,"Thule, Greenland",OP-KOWALSKI,8BFA978A98C98604,78.2925,15.6714,SVALBARD-MONITOR,URGENT,ACK_SUCCESS,EXECUTED,76
CMD-000015,2026-01-22 01:40:00,SENTINEL-9,TELEMETRY_REQUEST,GS-DELTA-4,"McMurdo, Antarctica",OP-CHEN,469FB45A481EC4E1,71.7013,150.2816,NSR-WAYPOINT-DELTA,URGENT,ACK_SUCCESS,EXECUTED,212
CMD-000016,2026-01-22 01:47:00,SENTINEL-9,SAFE_MODE_CHECK,GS-CHARLIE-3,"Svalbard, Norway",OP-CHEN,54E107EDBEA21E44,77.0422,67.6583,NOVAYA-ZEMLYA-NORTH,PRIORITY,ACK_SUCCESS,EXECUTED,487
CMD-000017,2026-01-22 01:51:00,SENTINEL-9,CALIBRATION,GS-CHARLIE-3,"Svalbard, Norway",OP-MUELLER,75D24B2C217650A5,78.1764,15.5329,SVALBARD-MONITOR,PRIORITY,ACK_SUCCESS,EXECUTED,163
CMD-000018,2026-01-22 01:59:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-ALPHA-1,"Thule, Greenland",OP-TANAKA,CEE966BD565BCA69,80.2077,52.713,FRANZ-JOSEF-LAND,ROUTINE,ACK_DELAYED,EXECUTED,388
CMD-000019,2026-01-22 02:03:00,SENTINEL-9,CONFIG_UPDATE,GS-ALPHA-1,"Thule, Greenland",OP-CHEN,F5A76E7DF2239461,71.6285,150.2515,NSR-WAYPOINT-DELTA,ROUTINE,ACK_SUCCESS,EXECUTED,325
CMD-000020,2026-01-22 02:07:00,SENTINEL-9,CALIBRATION,GS-DELTA-4,"McMurdo, Antarctica",OP-TANAKA,551FC0A0638B4C87,73.8184,125.3355,NSR-WAYPOINT-CHARLIE,ROUTINE,ACK_SUCCESS,EXECUTED,100
CMD-000021,2026-01-22 02:12:00,SENTINEL-9,IMAGE_CAPTURE,GS-ALPHA-1,"Thule, Greenland",OP-MUELLER,F5FB21EBA83931FA,71.6322,150.298,NSR-WAYPOINT-DELTA,ROUTINE,ACK_SUCCESS,EXECUTED,337
CMD-000022,2026-01-22 02:20:00,SENTINEL-9,IMAGE_CAPTURE,GS-CHARLIE-3,"Svalbard, Norway",OP-TANAKA,479E99D218AD18F6,77.4046,45.2683,NSR-WAYPOINT-ECHO,ROUTINE,ACK_SUCCESS,EXECUTED,182
CMD-000023,2026-01-22 02:27:00,SENTINEL-9,TELEMETRY_REQUEST,GS-CHARLIE-3,"Svalbard, Norway",OP-JENSEN,14E71EA3317575C0,75.4751,68.3612,NSR-WAYPOINT-ALPHA,ROUTINE,ACK_SUCCESS,EXECUTED,309
CMD-000024,2026-01-22 02:37:00,SENTINEL-9,SAFE_MODE_CHECK,GS-ALPHA-1,"Thule, Greenland",OP-MUELLER,21BB780C331DA1FA,76.9659,67.5706,NOVAYA-ZEMLYA-NORTH,PRIORITY,ACK_SUCCESS,EXECUTED,483
CMD-000025,2026-01-22 02:42:00,SENTINEL-9,SAFE_MODE_CHECK,GS-DELTA-4,"McMurdo, Antarctica",OP-JENSEN,F295BB0939881C4A,76.2199,96.7876,NSR-WAYPOINT-BRAVO,PRIORITY,ACK_SUCCESS,EXECUTED,271
CMD-000026,2026-01-22 02:46:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-BRAVO-2,"Fairbanks, Alaska",OP-KOWALSKI,CF80714F1F4BB569,73.7807,125.3445,NSR-WAYPOINT-CHARLIE,ROUTINE,ACK_SUCCESS,EXECUTED,341
CMD-000027,2026-01-22 02:56:00,SENTINEL-9,TELEMETRY_REQUEST,GS-BRAVO-2,"Fairbanks, Alaska",OP-MUELLER,419D52FEBEF968C8,76.0904,96.6263,NSR-WAYPOINT-BRAVO,ROUTINE,ACK_SUCCESS,EXECUTED,463
CMD-000028,2026-01-22 03:05:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-ALPHA-1,"Thule, Greenland",OP-MUELLER,AFFB5756F6792350,80.1581,52.7494,FRANZ-JOSEF-LAND,ROUTINE,ACK_SUCCESS,EXECUTED,492
CMD-000029,2026-01-22 03:15:00,SENTINEL-9,SAFE_MODE_CHECK,GS-CHARLIE-3,"Svalbard, Norway",OP-TANAKA,D3CDE78FF749FAAD,80.0773,52.7905,FRANZ-JOSEF-LAND,URGENT,ACK_SUCCESS,EXECUTED,261
CMD-000030,2026-01-22 03:19:00,SENTINEL-9,ATTITUDE_ADJUST,GS-ALPHA-1,"Thule, Greenland",OP-JENSEN,D9AF63AC7B96DA2D,76.2495,96.6325,NSR-WAYPOINT-BRAVO,ROUTINE,ACK_SUCCESS,EXECUTED,280
CMD-000031,2026-01-22 03:23:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-ALPHA-1,"Thule, Greenland",OP-JENSEN,724B3D5994AFE764,77.0284,67.5412,NOVAYA-ZEMLYA-NORTH,ROUTINE,ACK_SUCCESS,EXECUTED,147
CMD-000032,2026-01-22 03:34:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-BRAVO-2,"Fairbanks, Alaska",OP-KOWALSKI,D6CE11B39CC5CD17,76.9438,67.5337,NOVAYA-ZEMLYA-NORTH,ROUTINE,ACK_SUCCESS,EXECUTED,101
CMD-000033,2026-01-22 03:42:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-CHARLIE-3,"Svalbard, Norway",OP-TANAKA,E4EA4BA76ACCE7B5,77.3632,45.1029,NSR-WAYPOINT-ECHO,ROUTINE,ACK_SUCCESS,EXECUTED,456
CMD-000034,2026-01-22 03:50:00,SENTINEL-9,DOWNLINK_SCHEDULE,GS-DELTA-4,"McMurdo, Antarctica",OP-CHEN,D6ABFBB15AC117E2,73.7759,125.2813,NSR-WAYPOINT-CHARLIE,ROUTINE,ACK_SUCCESS,EXECUTED,174
CMD-000035,2026-01-22 03:55:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-ALPHA-1,"Thule, Greenland",OP-CHEN,407AA65CB0ABB35A,80.1996,52.7854,FRANZ-JOSEF-LAND,ROUTINE,ACK_SUCCESS,EXECUTED,393
CMD-000036,2026-01-22 04:02:00,SENTINEL-9,CALIBRATION,GS-CHARLIE-3,"Svalbard, Norway",OP-RODRIGUEZ,5FEB2054036EDA26,80.0805,52.7427,FRANZ-JOSEF-LAND,PRIORITY,ACK_SUCCESS,EXECUTED,241
CMD-000037,2026-01-22 04:07:00,SENTINEL-9,SAFE_MODE_CHECK,GS-BRAVO-2,"Fairbanks, Alaska",OP-RODRIGUEZ,57238855F50EF391,76.0806,96.6548,NSR-WAYPOINT-BRAVO,PRIORITY,ACK_SUCCESS,EXECUTED,114
CMD-000038,2026-01-22 04:13:00,SENTINEL-9,CALIBRATION,GS-CHARLIE-3,"Svalbard, Norway",OP-KOWALSKI,68BB15B7AAD5252C,76.8614,67.5637,NOVAYA-ZEMLYA-NORTH,ROUTINE,ACK_SUCCESS,EXECUTED,446
CMD-000039,2026-01-22 04:17:00,SENTINEL-9,IMAGE_CAPTURE,GS-ALPHA-1,"Thule, Greenland",OP-TANAKA,3FC457C489847F35,80.1528,52.6698,FRANZ-JOSEF-LAND,ROUTINE,ACK_SUCCESS,EXECUTED,216
CMD-000040,2026-01-22 04:27:00,SENTINEL-9,SAFE_MODE_CHECK,GS-ALPHA-1,"Thule, Greenland",OP-JENSEN,EE623C1FFE8AD634,75.4232,68.4346,NSR-WAYPOINT-ALPHA,ROUTINE,ACK_SUCCESS,EXECUTED,250
CMD-000041,2026-01-22 04:36:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-CHARLIE-3,"Svalbard, Norway",OP-RODRIGUEZ,1E53B4A0AEE18E57,71.6123,150.282,NSR-WAYPOINT-DELTA,ROUTINE,ACK_SUCCESS,EXECUTED,488
CMD-000042,2026-01-22 04:40:00,SENTINEL-9,TELEMETRY_REQUEST,GS-CHARLIE-3,"Svalbard, Norway",OP-JENSEN,208C9021818E9497,71.7207,150.288,NSR-WAYPOINT-DELTA,PRIORITY,ACK_SUCCESS,EXECUTED,439
CMD-000043,2026-01-22 04:44:00,SENTINEL-9,ATTITUDE_ADJUST,GS-CHARLIE-3,"Svalbard, Norway",OP-MUELLER,B1B4B42870449BED,77.4589,45.126,NSR-WAYPOINT-ECHO,ROUTINE,ACK_SUCCESS,EXECUTED,330
CMD-000044,2026-01-22 04:49:00,SENTINEL-9,TELEMETRY_REQUEST,GS-ALPHA-1,"Thule, Greenland",OP-RODRIGUEZ,12E300C552D97665,80.1909,52.6631,FRANZ-JOSEF-LAND,PRIORITY,ACK_SUCCESS,EXECUTED,180
CMD-000045,2026-01-22 04:58:00,SENTINEL-9,IMAGE_CAPTURE,GS-ALPHA-1,"Thule, Greenland",OP-RODRIGUEZ,FC97ECB5730745BE,78.2453,15.6418,SVALBARD-MONITOR,ROUTINE,ACK_SUCCESS,EXECUTED,55
CMD-000046,2026-01-22 05:07:00,SENTINEL-9,TELEMETRY_REQUEST,GS-BRAVO-2,"Fairbanks, Alaska",OP-KOWALSKI,0B28260C1FF989BA,80.0374,52.7414,FRANZ-JOSEF-LAND,PRIORITY,ACK_SUCCESS,EXECUTED,304
CMD-000047,2026-01-22 05:16:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-ALPHA-1,"Thule, Greenland",OP-JENSEN,3F4F625849D8337A,78.1805,15.634,SVALBARD-MONITOR,ROUTINE,ACK_SUCCESS,EXECUTED,432
CMD-000048,2026-01-22 05:21:00,SENTINEL-9,CONFIG_UPDATE,GS-BRAVO-2,"Fairbanks, Alaska",OP-CHEN,6B4B188DB3C44BC7,71.6985,150.2355,NSR-WAYPOINT-DELTA,PRIORITY,ACK_SUCCESS,EXECUTED,487
CMD-000049,2026-01-22 05:25:00,SENTINEL-9,ATTITUDE_ADJUST,GS-DELTA-4,"McMurdo, Antarctica",OP-CHEN,027386238238920A,75.5172,68.5141,NSR-WAYPOINT-ALPHA,ROUTINE,ACK_SUCCESS,EXECUTED,223
CMD-000050,2026-01-22 05:30:00,SENTINEL-9,TELEMETRY_REQUEST,GS-DELTA-4,"McMurdo, Antarctica",OP-KOWALSKI,B40C33CE6ADBE2B6,80.138,52.6313,FRANZ-JOSEF-LAND,PRIORITY,ACK_SUCCESS,EXECUTED,238
CMD-000051,2026-01-22 05:38:00,SENTINEL-9,IMAGE_CAPTURE,GS-DELTA-4,"McMurdo, Antarctica",OP-RODRIGUEZ,B5D2E9E268F89FF0,76.9694,67.6799,NOVAYA-ZEMLYA-NORTH,PRIORITY,ACK_SUCCESS,EXECUTED,270
CMD-000052,2026-01-22 05:46:00,SENTINEL-9,IMAGE_CAPTURE,GS-BRAVO-2,"Fairbanks, Alaska",OP-CHEN,8C5E90DB26A77691,78.2826,15.5391,SVALBARD-MONITOR,ROUTINE,ACK_SUCCESS,EXECUTED,165
CMD-000053,2026-01-22 05:51:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-CHARLIE-3,"Svalbard, Norway",OP-KOWALSKI,C7AA95A482C95502,75.4447,68.4553,NSR-WAYPOINT-ALPHA,ROUTINE,ACK_SUCCESS,EXECUTED,362
CMD-000054,2026-01-22 06:00:00,SENTINEL-9,DOWNLINK_SCHEDULE,GS-DELTA-4,"McMurdo, Antarctica",OP-JENSEN,C7448308C56BA879,75.5707,68.3731,NSR-WAYPOINT-ALPHA,ROUTINE,ACK_SUCCESS,EXECUTED,189
CMD-000055,2026-01-22 06:02:00,SENTINEL-9,DOWNLINK_SCHEDULE,GS-ALPHA-1,"Thule, Greenland",OP-JENSEN,215D38A05958E67D,77.3862,45.1147,NSR-WAYPOINT-ECHO,ROUTINE,ACK_SUCCESS,EXECUTED,281
CMD-000056,2026-01-22 06:05:00,SENTINEL-9,TELEMETRY_REQUEST,GS-BRAVO-2,"Fairbanks, Alaska",OP-TANAKA,569C94E2A70164C4,78.2603,15.5722,SVALBARD-MONITOR,ROUTINE,ACK_SUCCESS,EXECUTED,262
CMD-000057,2026-01-22 06:08:00,SENTINEL-9,CALIBRATION,GS-ALPHA-1,"Thule, Greenland",OP-RODRIGUEZ,C101FFC258076F56,80.0836,52.7799,FRANZ-JOSEF-LAND,ROUTINE,ACK_SUCCESS,EXECUTED,249
CMD-000058,2026-01-22 06:11:00,SENTINEL-9,TELEMETRY_REQUEST,GS-ALPHA-1,"Thule, Greenland",OP-TANAKA,FB3E3206520D64B8,75.426,68.5223,NSR-WAYPOINT-ALPHA,ROUTINE,ACK_SUCCESS,EXECUTED,388
CMD-000059,2026-01-22 06:15:00,SENTINEL-9,TELEMETRY_REQUEST,GS-CHARLIE-3,"Svalbard, Norway",OP-JENSEN,D93FEBF4473C54D7,71.5785,150.1691,NSR-WAYPOINT-DELTA,ROUTINE,ACK_SUCCESS,EXECUTED,342
CMD-000060,2026-01-22 06:17:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-CHARLIE-3,"Svalbard, Norway",OP-RODRIGUEZ,6AC9AD364D219E65,71.5963,150.3027,NSR-WAYPOINT-DELTA,ROUTINE,ACK_SUCCESS,EXECUTED,337
CMD-000061,2026-01-22 06:21:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-ALPHA-1,"Thule, Greenland",OP-MUELLER,0ADC5D961A4254C9,75.4824,68.398,NSR-WAYPOINT-ALPHA,ROUTINE,ACK_SUCCESS,EXECUTED,333
CMD-000062,2026-01-22 06:24:00,SENTINEL-9,IMAGE_CAPTURE,GS-ALPHA-1,"Thule, Greenland",OP-JENSEN,8EDEC8DFC1A945FE,76.1171,96.6945,NSR-WAYPOINT-BRAVO,PRIORITY,ACK_SUCCESS,EXECUTED,460
CMD-000063,2026-01-22 06:28:00,SENTINEL-9,SAFE_MODE_CHECK,GS-ALPHA-1,"Thule, Greenland",OP-MUELLER,4AEA8D9B9C12130F,76.9183,67.5698,NOVAYA-ZEMLYA-NORTH,PRIORITY,ACK_SUCCESS,EXECUTED,116
CMD-000064,2026-01-22 06:31:00,SENTINEL-9,DOWNLINK_SCHEDULE,GS-BRAVO-2,"Fairbanks, Alaska",OP-RODRIGUEZ,998B1944C979970D,80.1702,52.7808,FRANZ-JOSEF-LAND,ROUTINE,ACK_SUCCESS,EXECUTED,372
CMD-000065,2026-01-22 06:35:00,SENTINEL-9,TELEMETRY_REQUEST,GS-DELTA-4,"McMurdo, Antarctica",OP-KOWALSKI,9FCD3962624D1FBE,77.4868,45.1725,NSR-WAYPOINT-ECHO,PRIORITY,ACK_SUCCESS,EXECUTED,93
CMD-000066,2026-01-22 06:38:00,SENTINEL-9,IMAGE_CAPTURE,GS-BRAVO-2,"Fairbanks, Alaska",OP-KOWALSKI,439F03CB86F3E032,77.0318,67.5428,NOVAYA-ZEMLYA-NORTH,ROUTINE,ACK_SUCCESS,EXECUTED,178
CMD-000067,2026-01-22 06:42:00,SENTINEL-9,IMAGE_CAPTURE,GS-BRAVO-2,"Fairbanks, Alaska",OP-RODRIGUEZ,D97629F90C46276B,75.5408,68.5026,NSR-WAYPOINT-ALPHA,PRIORITY,ACK_SUCCESS,EXECUTED,495
CMD-000068,2026-01-22 06:46:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-ALPHA-1,"Thule, Greenland",OP-RODRIGUEZ,DF11A639A921C0A8,75.61,68.3574,NSR-WAYPOINT-ALPHA,PRIORITY,ACK_SUCCESS,EXECUTED,74
CMD-000069,2026-01-22 06:50:00,SENTINEL-9,ATTITUDE_ADJUST,GS-ALPHA-1,"Thule, Greenland",OP-KOWALSKI,98408B7E3CDB96BB,80.2005,52.6988,FRANZ-JOSEF-LAND,PRIORITY,ACK_SUCCESS,EXECUTED,140
CMD-000070,2026-01-22 06:52:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-BRAVO-2,"Fairbanks, Alaska",OP-TANAKA,A9A3A2636106F82E,77.4614,45.2597,NSR-WAYPOINT-ECHO,ROUTINE,ACK_SUCCESS,EXECUTED,394
CMD-000071,2026-01-22 06:56:00,SENTINEL-9,SAFE_MODE_CHECK,GS-DELTA-4,"McMurdo, Antarctica",OP-TANAKA,11374421FBDDC8CA,75.4409,68.4454,NSR-WAYPOINT-ALPHA,ROUTINE,ACK_SUCCESS,EXECUTED,105
CMD-000072,2026-01-22 06:58:00,SENTINEL-9,DOWNLINK_SCHEDULE,GS-CHARLIE-3,"Svalbard, Norway",OP-CHEN,DEF311657A239269,77.5091,45.2367,NSR-WAYPOINT-ECHO,ROUTINE,ACK_SUCCESS,EXECUTED,356
CMD-000073,2026-01-22 07:01:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-BRAVO-2,"Fairbanks, Alaska",OP-MUELLER,BA86A9C77B9DD953,73.7845,125.3436,NSR-WAYPOINT-CHARLIE,ROUTINE,ACK_SUCCESS,EXECUTED,494
CMD-000074,2026-01-22 07:05:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-ALPHA-1,"Thule, Greenland",OP-KOWALSKI,330E073046A54FB9,78.1364,15.6864,SVALBARD-MONITOR,ROUTINE,ACK_SUCCESS,EXECUTED,211
CMD-000075,2026-01-22 07:08:00,SENTINEL-9,MAINTENANCE_ROUTINE,GS-CHARLIE-3,"Svalbard, Norway",OP-JENSEN,F5F7FA72B1AC62F6,76.9416,67.5253,NOVAYA-ZEMLYA-NORTH,ROUTINE,ACK_SUCCESS,EXECUTED,370
CMD-000076,2026-01-22 07:11:00,SENTINEL-9,IMAGE_CAPTURE,GS-ALPHA-1,"Thule, Greenland",OP-RODRIGUEZ,ACA2CB7D28B8F49E,76.999,67.4953,NOVAYA-ZEMLYA-NORTH,PRIORITY,ACK_SUCCESS,EXECUTED,257
CMD-000077,2026-01-22 07:15:00,SENTINEL-9,CALIBRATION,GS-DELTA-4,"McMurdo, Antarctica",OP-JENSEN,27A96A1649DB9950,78.1718,15.5469,SVALBARD-MONITOR,ROUTINE,ACK_SUCCESS,EXECUTED,127
CMD-000078,2026-01-22 07:17:00,SENTINEL-9,TELEMETRY_REQUEST,GS-ALPHA-1,"Thule, Greenland",OP-RODRIGUEZ,B0C23B02681C847F,78.1579,15.6453,SVALBARD-MONITOR,PRIORITY,ACK_SUCCESS,EXECUTED,318
CMD-000079,2026-01-22 07:21:00,SENTINEL-9,CONFIG_UPDATE,GS-ALPHA-1,"Thule, Greenland",OP-TANAKA,355166A57DAC59F4,76.9858,67.4953,NOVAYA-ZEMLYA-NORTH,ROUTINE,ACK_DELAYED,EXECUTED,467
CMD-000080,2026-01-22 07:24:00,SENTINEL-9,CONFIG_UPDATE,GS-BRAVO-2,"Fairbanks, Alaska",OP-KOWALSKI,A9EB51366993F34C,76.8822,67.6113,NOVAYA-ZEMLYA-NORTH,URGENT,ACK_SUCCESS,EXECUTED,322
CMD-000081,2026-01-22 07:27:00,SENTINEL-9,DOWNLINK_SCHEDULE,GS-ALPHA-1,"Thule, Greenland",OP-CHEN,20D30A6A024A9901,78.1778,15.6325,SVALBARD-MONITOR,PRIORITY,ACK_SUCCESS,EXECUTED,288
CMD-000082,2026-01-22 07:31:00,SENTINEL-9,ATTITUDE_ADJUST,GS-DELTA-4,"McMurdo, Antarctica",OP-TANAKA,ADF4FC103A58827F,73.8601,125.3106,NSR-WAYPOINT-CHARLIE,PRIORITY,ACK_SUCCESS,EXECUTED,409
CMD-000083,2026-01-22 07:33:00,SENTINEL-9,CONFIG_UPDATE,GS-DELTA-4,"McMurdo, Antarctica",OP-JENSEN,56930065869FA842,77.5225,45.1688,NSR-WAYPOINT-ECHO,PRIORITY,ACK_SUCCESS,EXECUTED,363
CMD-000084,2026-01-22 07:35:00,SENTINEL-9,CONFIG_UPDATE,GS-DELTA-4,"McMurdo, Antarctica",OP-RODRIGUEZ,7DB13401212A2CDF,78.1614,15.6955,SVALBARD-MONITOR,ROUTINE,ACK_SUCCESS,EXECUTED,478
CMD-000085,2026-01-22 07:38:00,SENTINEL-9,SAFE_MODE_CHECK,GS-BRAVO-2,"Fairbanks, Alaska",OP-CHEN,3C95A62C1F157F0A,71.5591,150.1735,NSR-WAYPOINT-DELTA,URGENT,ACK_SUCCESS,EXECUTED,208
CMD-000086,2026-01-22 07:41:00,SENTINEL-9,CONFIG_UPDATE,GS-ALPHA-1,"Thule, Greenland",OP-KOWALSKI,74DD64BB0412CC4D,77.0369,67.6633,NOVAYA-ZEMLYA-NORTH,ROUTINE,ACK_SUCCESS,EXECUTED,362
CMD-000087,2026-01-22 07:43:00,SENTINEL-9,DOWNLINK_SCHEDULE,GS-DELTA-4,"McMurdo, Antarctica",OP-KOWALSKI,EA8222C61D4D9829,73.7586,125.3862,NSR-WAYPOINT-CHARLIE,ROUTINE,ACK_SUCCESS,EXECUTED,147
CMD-000088,2026-01-22 07:47:00,SENTINEL-9,CONFIG_UPDATE,GS-CHARLIE-3,"Svalbard, Norway",OP-CHEN,9602165C217D1EFA,78.3186,15.5774,SVALBARD-MONITOR,ROUTINE,ACK_DELAYED,EXECUTED,142
CMD-000089,2026-01-22 07:50:00,SENTINEL-9,SAFE_MODE_CHECK,GS-CHARLIE-3,"Svalbard, Norway",OP-KOWALSKI,AE61CA43B6695CED,78.2268,15.6328,SVALBARD-MONITOR,ROUTINE,ACK_SUCCESS,EXECUTED,261
CMD-000090,2026-01-22 07:52:00,SENTINEL-9,SAFE_MODE_CHECK,GS-BRAVO-2,"Fairbanks, Alaska",OP-TANAKA,0E4D974AF583A756,80.1857,52.7726,FRANZ-JOSEF-LAND,ROUTINE,ACK_SUCCESS,EXECUTED,496
CMD-000091,2026-01-22 07:55:00,SENTINEL-9,ATTITUDE_ADJUST,GS-DELTA-4,"McMurdo, Antarctica",OP-TANAKA,E2621013D0D7BB20,75.5542,68.4911,NSR-WAYPOINT-ALPHA,PRIORITY,ACK_SUCCESS,EXECUTED,199
CMD-000092,2026-01-22 07:59:00,SENTINEL-9,TELEMETRY_REQUEST,GS-DELTA-4,"McMurdo, Antarctica",OP-CHEN,96FE26A6F546BF7B,76.8552,67.6007,NOVAYA-ZEMLYA-NORTH,ROUTINE,ACK_SUCCESS,EXECUTED,274
CMD-000093,2026-01-22 08:01:00,SENTINEL-9,TELEMETRY_REQUEST,GS-BRAVO-2,"Fairbanks, Alaska",OP-JENSEN,C49B4AE4EDED9076,75.4331,68.5074,NSR-WAYPOINT-ALPHA,ROUTINE,ACK_SUCCESS,EXECUTED,421
CMD-000094,2026-01-22 08:04:00,SENTINEL-9,DOWNLINK_SCHEDULE,GS-DELTA-4,"McMurdo, Antarctica",OP-JENSEN,AD45AA26FCCE0BEF,76.8842,67.5636,NOVAYA-ZEMLYA-NORTH,PRIORITY,ACK_SUCCESS,EXECUTED,255
CMD-000095,2026-01-22 08:08:00,SENTINEL-9,DOWNLINK_SCHEDULE,GS-BRAVO-2,"Fairbanks, Alaska",OP-KOWALSKI,9999805302905B5B,75.581,68.3405,NSR-WAYPOINT-ALPHA,ROUTINE,ACK_SUCCESS,EXECUTED,97
CMD-000096,2026-01-22 08:11:00,SENTINEL-9,TELEMETRY_REQUEST,GS-BRAVO-2,"Fairbanks, Alaska",OP-TANAKA,9446DFA53AC9A7C3,76.247,96.8149,NSR-WAYPOINT-BRAVO,ROUTINE,ACK_SUCCESS,EXECUTED,497
CMD-000097,2026-01-22 08:15:00,SENTINEL-9,IMAGE_CAPTURE,GS-BRAVO-2,"Fairbanks, Alaska",OP-MUELLER,B00B863A444DC3F1,80.2054,52.6727,FRANZ-JOSEF-LAND,ROUTINE,ACK_SUCCESS,EXECUTED,292
CMD-000098,2026-01-22 08:19:00,SENTINEL-9,CONFIG_UPDATE,GS-BRAVO-2,"Fairbanks, Alaska",OP-TANAKA,749E56CE6B5B38BD,73.7523,125.3875,NSR-WAYPOINT-CHARLIE,ROUTINE,ACK_SUCCESS,EXECUTED,353
