nsn,item_name,vendor_id,vendor_name,contract_number,standard_lead_time_days,weather_adjusted_lead_time_days,shipping_method,unit_price,min_order_qty,bulk_discount_threshold,bulk_discount_pct
9110-01-487-3256,"FUEL, PROPANE, HEATING, 100LB CYLINDER",V-002,Northern Logistics Inc,W91CRB-25-D-0087,3,8,GROUND_CONVOY,165.0,10,10,5
4520-01-431-8967,"HEATER, SPACE, PORTABLE, MULTI-FUEL",V-003,Polar Equipment Corporation,W91CRB-25-D-0156,7,12,AIR_FREIGHT,2850.0,1,10,5
4520-01-523-6789,"HEATER, TENT, HUNTER, PROPANE",V-003,Polar Equipment Corporation,W91CRB-25-D-0156,7,12,AIR_FREIGHT,1245.0,1,10,5
6115-01-462-3892,"GENERATOR, DIESEL, 10KW, ARCTIC",V-003,Polar Equipment Corporation,W91CRB-25-D-0156,7,12,AIR_FREIGHT,28500.0,1,10,5
6115-01-534-2156,"GENERATOR, DIESEL, 30KW, ARCTIC",V-003,Polar Equipment Corporation,W91CRB-25-D-0156,7,12,AIR_FREIGHT,67000.0,1,10,5
6140-01-490-4458,"BATTERY, STORAGE, 12V, COLD WEATHER",V-003,Polar Equipment Corporation,W91CRB-25-D-0156,7,12,AIR_FREIGHT,285.0,10,10,5
8970-01-521-6458,"RATION, COLD WEATHER, MCW",V-004,DLA Troop Support,SPE300-25-D-0001,10,15,AIR_FREIGHT,185.0,10,10,5
8970-01-097-4516,"RATION, MRE, STANDARD, CASE",V-004,DLA Troop Support,SPE300-25-D-0001,10,15,AIR_FREIGHT,112.0,10,10,5
8960-01-532-6780,"BEVERAGE, HOT, INSTANT, VARIETY PACK",V-004,DLA Troop Support,SPE300-25-D-0001,10,15,AIR_FREIGHT,78.0,10,50,5
5820-01-567-8901,"RADIO, SATCOM, PORTABLE, AN/PRC-162",V-005,Cold Region Tactical Supply,W91CRB-25-D-0203,4,9,AIR_DROP,32500.0,1,10,5
5820-01-534-2890,"RADIO, HANDHELD, AN/PRC-152A",V-005,Cold Region Tactical Supply,W91CRB-25-D-0203,4,9,AIR_DROP,12800.0,1,10,5
6140-01-523-7812,"BATTERY, RADIO, LITHIUM, COLD WEATHER",V-005,Cold Region Tactical Supply,W91CRB-25-D-0203,4,9,AIR_DROP,145.0,10,10,5
9150-01-102-1473,"LUBRICANT, WEAPONS, LAW, ARCTIC",V-005,Cold Region Tactical Supply,W91CRB-25-D-0203,4,9,AIR_DROP,18.5,10,50,5
9150-01-054-6453,"GREASE, WEAPONS, LOW TEMP, GAA",V-005,Cold Region Tactical Supply,W91CRB-25-D-0203,4,9,AIR_DROP,12.0,10,50,5
6850-01-474-2318,"CLEANER, WEAPONS, CLP, COLD WEATHER",V-005,Cold Region Tactical Supply,W91CRB-25-D-0203,4,9,AIR_DROP,14.0,10,50,5
7240-01-530-8765,"CONTAINER, WATER, INSULATED, 5GAL",V-005,Cold Region Tactical Supply,W91CRB-25-D-0203,4,9,AIR_DROP,145.0,10,10,5
7240-01-478-9234,"CANTEEN, INSULATED, ARCTIC, 1QT",V-005,Cold Region Tactical Supply,W91CRB-25-D-0203,4,9,AIR_DROP,48.0,10,50,5
4610-01-523-4567,"PURIFIER, WATER, PORTABLE, ARCTIC",V-005,Cold Region Tactical Supply,W91CRB-25-D-0203,4,9,AIR_DROP,3200.0,1,10,5
6545-01-532-4567,"KIT, MEDICAL, COLD INJURY TREATMENT",V-004,DLA Troop Support,SPE300-25-D-0001,10,15,AIR_FREIGHT,285.0,10,10,5
6530-01-478-2345,"WARMER, FLUID, IV, PORTABLE",V-004,DLA Troop Support,SPE300-25-D-0001,10,15,AIR_FREIGHT,1850.0,1,10,5
6515-01-521-8765,"BLANKET, CASUALTY, HYPOTHERMIA",V-004,DLA Troop Support,SPE300-25-D-0001,10,15,AIR_FREIGHT,42.0,10,50,5
8340-01-521-6789,"TENT, ARCTIC, 10-PERSON, HEATED",V-001,Arctic Defense Solutions LLC,W91CRB-25-D-0042,5,10,AIR_FREIGHT,4500.0,1,10,5
8340-01-478-5678,"LINER, TENT, INSULATED, ARCTIC",V-001,Arctic Defense Solutions LLC,W91CRB-25-D-0042,5,10,AIR_FREIGHT,850.0,10,10,5
