nsn,item_name,item_description,category,subcategory,unit_of_issue,unit_price,weight_lbs,cube_ft,shelf_life_days,temp_rating_f,critical_item,primary_vendor
6140-01-523-7812,"BATTERY, RADIO, LITHIUM, COLD WEATHER","Radio battery, lithium-ion, cold-rated to -40°F",COMMUNICATIONS,BATTERIES,EA,145.0,0.6,0.02,365,-40,YES,V-005
9150-01-102-1473,"LUBRICANT, WEAPONS, LAW, ARCTIC","Lubricant, Arctic Weapons (LAW), 4oz bottle",MAINTENANCE,LUBRICANTS,BT,18.5,0.3,0.01,1825,-65,YES,V-005
9150-01-054-6453,"GREASE, WEAPONS, LOW TEMP, GAA","Grease, automotive and artillery, cold weather, 14oz tube",MAINTENANCE,LUBRICANTS,TU,12.0,1.0,0.02,1825,-60,NO,V-005
6850-01-474-2318,"CLEANER, WEAPONS, CLP, COLD WEATHER","Cleaner-lubricant-preservative, cold weather formula, 4oz",MAINTENANCE,CLEANING,BT,14.0,0.35,0.01,1460,-50,NO,V-005
7240-01-530-8765,"CONTAINER, WATER, INSULATED, 5GAL","Insulated water container, 5-gallon, anti-freeze design",EQUIPMENT,WATER,EA,145.0,8.0,1.2,N/A,-40,YES,V-005
7240-01-478-9234,"CANTEEN, INSULATED, ARCTIC, 1QT","Personal canteen, insulated, 1-quart, with carrier",EQUIPMENT,WATER,EA,48.0,0.8,0.08,N/A,-40,NO,V-005
4610-01-523-4567,"PURIFIER, WATER, PORTABLE, ARCTIC","Water purification unit, portable, cold weather rated",EQUIPMENT,WATER,EA,3200.0,65.0,4.5,N/A,-40,YES,V-005
6545-01-532-4567,"KIT, MEDICAL, COLD INJURY TREATMENT","Cold injury treatment kit, frostbite/hypothermia",MEDICAL,TREATMENT,KT,285.0,4.5,0.5,730,-40,YES,V-004
6530-01-478-2345,"WARMER, FLUID, IV, PORTABLE",Portable IV fluid warmer for field medical operations,MEDICAL,EQUIPMENT,EA,1850.0,3.2,0.25,N/A,-40,YES,V-004
6515-01-521-8765,"BLANKET, CASUALTY, HYPOTHERMIA","Emergency hypothermia blanket, reflective insulated",MEDICAL,TREATMENT,EA,42.0,1.2,0.15,N/A,-60,YES,V-004
8340-01-521-6789,"TENT, ARCTIC, 10-PERSON, HEATED","Arctic tent with liner, 10-person capacity, heater-compatible",SHELTER,TENTS,EA,4500.0,145.0,18.0,N/A,-60,YES,V-001
8340-01-478-5678,"LINER, TENT, INSULATED, ARCTIC",Insulated tent liner for Arctic operations,SHELTER,TENTS,EA,850.0,28.0,4.0,N/A,-60,NO,V-001
